strategy,symbol,start,end,shares_held,start_reference_price,end_reference_price,gross_pnl,end_fill_assumed_cost,net_increment,shares_after
context,TSLA,,2026-09-14 09:35:00-04:00,0.0,,365.33099365234375,0.0,4.566637420654297,-4.566637420654297,-25.0
context,TSLA,2026-09-14 09:35:00-04:00,2026-09-14 09:45:00-04:00,-25.0,365.33099365234375,361.7300109863281,90.02456665039062,4.521625137329101,85.50294151306153,0.0
context,TSLA,2026-09-14 09:45:00-04:00,2026-09-14 12:10:00-04:00,0.0,361.7300109863281,362.8901062011719,0.0,3.084565902709961,-3.084565902709961,-17.0
context,TSLA,2026-09-14 12:10:00-04:00,2026-09-14 12:15:00-04:00,-17.0,362.8901062011719,362.4737854003906,7.07745361328125,0.1812368927001953,6.896216720581054,-16.0
context,TSLA,2026-09-14 12:15:00-04:00,2026-09-14 12:20:00-04:00,-16.0,362.4737854003906,363.7699890136719,-20.7392578125,0.1818849945068359,-20.921142807006834,-15.0
context,TSLA,2026-09-14 12:20:00-04:00,2026-09-14 12:25:00-04:00,-15.0,363.7699890136719,363.55029296875,3.295440673828125,2.726627197265625,0.5688134765625001,0.0
context,TSLA,2026-09-14 12:25:00-04:00,2026-09-14 14:15:00-04:00,0.0,363.55029296875,361.4450073242188,-0.0,0.3614450073242187,-0.3614450073242187,2.0
context,TSLA,2026-09-14 14:15:00-04:00,2026-09-14 14:25:00-04:00,2.0,361.4450073242188,361.0899963378906,-0.7100219726563637,0.3610899963378906,-1.0711119689942543,0.0
context,TSLA,2026-09-14 14:25:00-04:00,2026-09-14 15:10:00-04:00,0.0,361.0899963378906,360.1050109863281,-0.0,1.9805775604248048,-1.9805775604248048,11.0
context,TSLA,2026-09-14 15:10:00-04:00,2026-09-14 15:15:00-04:00,11.0,360.1050109863281,359.6960144042969,-4.49896240234375,4.136504165649414,-8.635466567993163,34.0
context,TSLA,2026-09-14 15:15:00-04:00,2026-09-14 15:20:00-04:00,34.0,359.6960144042969,359.614990234375,-2.75482177734375,0.5394224853515625,-3.2942442626953126,37.0
context,TSLA,2026-09-14 15:20:00-04:00,2026-09-14 15:25:00-04:00,37.0,359.614990234375,359.45001220703125,-6.10418701171875,0.1797250061035156,-6.283912017822265,36.0
context,TSLA,2026-09-14 15:25:00-04:00,2026-09-14 15:30:00-04:00,36.0,359.45001220703125,360.2950134277344,30.4200439453125,5.76472021484375,24.65532373046875,4.0
context,TSLA,2026-09-14 15:30:00-04:00,2026-09-14 15:35:00-04:00,4.0,360.2950134277344,360.2703857421875,-0.0985107421875,0.1801351928710937,-0.2786459350585937,3.0
context,TSLA,2026-09-14 15:35:00-04:00,2026-09-14 15:40:00-04:00,3.0,360.2703857421875,360.2349853515625,-0.106201171875,0.1801174926757812,-0.2863186645507812,2.0
context,TSLA,2026-09-14 15:40:00-04:00,2026-09-14 15:55:00-04:00,2.0,360.2349853515625,359.4100036621094,-1.64996337890625,0.3594100036621094,-2.0093733825683593,0.0
context,PLTR,,2026-09-14 09:35:00-04:00,0.0,,168.1699981689453,0.0,1.1771899871826172,-1.1771899871826172,-14.0
context,PLTR,2026-09-14 09:35:00-04:00,2026-09-14 09:40:00-04:00,-14.0,168.1699981689453,167.05999755859375,15.540008544921875,1.169419982910156,14.370588562011719,0.0
context,PLTR,2026-09-14 09:40:00-04:00,2026-09-14 09:40:00-04:00,0.0,167.05999755859375,167.05999755859375,0.0,8.52005987548828,-8.52005987548828,102.0
context,PLTR,2026-09-14 09:40:00-04:00,2026-09-14 09:45:00-04:00,102.0,167.05999755859375,167.19000244140625,13.260498046875,8.526690124511719,4.733807922363281,0.0
context,PLTR,2026-09-14 09:45:00-04:00,2026-09-14 09:50:00-04:00,0.0,167.19000244140625,167.50999450683594,0.0,7.202929763793946,-7.202929763793946,-86.0
context,PLTR,2026-09-14 09:50:00-04:00,2026-09-14 09:55:00-04:00,-86.0,167.50999450683594,168.4499969482422,-80.8402099609375,4.295474922180175,-85.13568488311768,-35.0
context,PLTR,2026-09-14 09:55:00-04:00,2026-09-14 10:00:00-04:00,-35.0,168.4499969482422,168.35499572753906,3.325042724609375,2.9462124252319337,0.3788302993774413,0.0
context,PLTR,2026-09-14 10:00:00-04:00,2026-09-14 10:10:00-04:00,0.0,168.35499572753906,167.94000244140625,-0.0,7.80921011352539,-7.80921011352539,-93.0
context,PLTR,2026-09-14 10:10:00-04:00,2026-09-14 10:15:00-04:00,-93.0,167.94000244140625,167.4499969482422,45.57051086425781,0.0837249984741211,45.486785865783695,-92.0
