date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SNDK,46,buy,1516.385009765625,1517.1432022705078,34.87685522460937,0.0,34.87685522460937,69753.71044921875,46,30211.412695556646,99965.1231447754,0.6977804683759286,0.6977804683759286,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,NVDA,-115,sell,217.13999938964844,217.03142938995362,12.485549964904784,0.0,12.485549964904784,24971.09992980957,-115,55170.02707540131,99952.63759481048,0.9476969558624875,0.4480383069124159,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-28,sell,1511.5,1510.7442500000002,21.161,0.0,21.161,42322.0,18,97470.86607540131,99741.39283931733,0.5227866961922895,0.02276413732835893,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,NVDA,1,buy,216.83889770507812,216.94731715393064,0.10841944885253907,0.0,0.10841944885253907,216.83889770507812,-114,97253.91875824738,99741.28441986848,0.520613250976294,0.02493817556178984,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,-2,sell,1530.4000244140625,1529.6348244018554,1.5304000244140625,0.0,1.5304000244140625,3060.800048828125,16,100313.18840705109,99938.46858893585,0.4937790352015508,-0.003749505304674235,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,-206,sell,218.0800018310547,217.97096183013917,22.46224018859863,0.0,22.46224018859863,44924.480377197266,-320,145215.20654405977,99916.00634874727,0.9435125003647072,-0.453372806326946,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,SNDK,-16,sell,1523.625,1522.8631875,12.189,0.0,12.189,24378.0,0,169581.01754405978,99862.61910655978,0.6981430996027255,-0.6981430996027255,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NVDA,206,buy,217.8699951171875,217.97893011474608,22.440609497070312,0.0,22.440609497070312,44881.218994140625,-114,124677.35794042208,99840.1784970627,0.2487693813977915,-0.2487693813977915,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,TSLA,-194,sell,359.4200134277344,359.24030342102054,34.86374130249023,0.0,34.86374130249023,69727.48260498047,-194,194369.97680410006,99805.31475576022,0.9474912461300773,-0.9474912461300773,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,TSLA,20,buy,360.5050048828125,360.68525738525386,3.605050048828125,0.0,3.605050048828125,7210.10009765625,-174,187156.271656395,99560.36085927585,0.8798271725926352,-0.8798271725926352,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,SNDK,-4,sell,1526.074951171875,1525.3119136962891,3.05214990234375,0.0,3.05214990234375,6104.2998046875,-4,193257.51931118016,99557.30870937352,0.941168577340064,-0.941168577340064,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,TSLA,174,buy,360.1400146484375,360.3200846557617,31.33218127441406,0.0,31.33218127441406,62664.362548828125,0,130561.82458107763,99489.3839072495,0.312319158622953,-0.312319158622953,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,TSLA,110,buy,360.1400146484375,360.3200846557617,19.807700805664062,0.0,19.807700805664062,39615.401611328125,110,90926.61526894383,99469.57620644383,0.7106478682330704,0.0858851647238301,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,NVDA,-108,sell,218.8800048828125,218.7705648803711,11.819520263671874,0.0,11.819520263671874,23639.04052734375,-222,114553.83627602391,99457.75668618016,0.9484115262133888,-0.15178383358752529,policy_rebalance
2026-08-31,2026-08-31T10:05:00-04:00,2026-08-31T10:05:00-04:00,SNDK,1,buy,1525.2950439453125,1526.0576914672852,0.7626475219726563,0.0,0.7626475219726563,1525.2950439453125,-3,113027.77858455662,99463.45222957616,0.9335542360456456,-0.13637498046691587,policy_rebalance
2026-08-31,2026-08-31T10:10:00-04:00,2026-08-31T10:10:00-04:00,SNDK,-1,sell,1518.2850341796875,1517.5258916625978,0.7591425170898437,0.0,0.7591425170898437,1518.2850341796875,-4,114545.30447621923,99453.40432973485,0.9497824929325243,-0.15174845193280284,policy_rebalance
2026-08-31,2026-08-31T10:15:00-04:00,2026-08-31T10:15:00-04:00,TSLA,-1,sell,360.889892578125,360.709447631836,0.1804449462890625,0.0,0.1804449462890625,360.889892578125,109,114906.01392385106,99319.54871389012,0.9490625260846518,-0.1569325013231874,policy_rebalance
2026-08-31,2026-08-31T10:20:00-04:00,2026-08-31T10:20:00-04:00,TSLA,-1,sell,361.7200012207031,361.5391412200928,0.18086000061035157,0.0,0.18086000061035157,361.7200012207031,108,115267.55306507116,99434.81478382116,0.9449834924438418,-0.15922731204027057,policy_rebalance
2026-08-31,2026-08-31T10:25:00-04:00,2026-08-31T10:25:00-04:00,SNDK,4,buy,1511.550048828125,1512.3058238525389,3.02310009765625,0.0,3.02310009765625,6046.2001953125,0,109218.32976966101,99550.84011512,0.8821684592015199,-0.09711108056307298,policy_rebalance
2026-08-31,2026-08-31T10:25:00-04:00,2026-08-31T10:25:00-04:00,NVDA,-29,sell,219.5677947998047,219.4580109024048,3.183733024597168,0.0,3.183733024597168,6367.466049194336,-251,115582.61208583075,99547.6563820954,0.9461606702647319,-0.16107818392216205,policy_rebalance
2026-08-31,2026-08-31T10:30:00-04:00,2026-08-31T10:30:00-04:00,TSLA,-108,sell,363.57000732421875,363.3882223205567,19.63278039550781,0.0,19.63278039550781,39265.560791015625,0,154828.5400964509,99590.96825807198,0.5546443899936863,-0.5546443899936863,policy_rebalance
2026-08-31,2026-08-31T10:30:00-04:00,2026-08-31T10:30:00-04:00,TSLA,-68,sell,363.57000732421875,363.3882223205567,12.361380249023437,0.0,12.361380249023437,24722.760498046875,-68,179538.93921424873,99578.60687782295,0.8029870555884796,-0.8029870555884796,policy_rebalance
2026-08-31,2026-08-31T10:30:00-04:00,2026-08-31T10:30:00-04:00,NVDA,-65,sell,220.07000732421875,219.95997232055666,7.1522752380371095,0.0,7.1522752380371095,14304.550476074219,-316,193836.3374150849,99571.45460258491,0.9467058926550306,-0.9467058926550306,policy_rebalance
2026-08-31,2026-08-31T10:35:00-04:00,2026-08-31T10:35:00-04:00,TSLA,35,buy,363.8949890136719,364.0769365081787,6.368162307739258,0.0,6.368162307739258,12736.324615478516,-33,181093.64463729865,99457.67115707404,0.8208112308531382,-0.8208112308531382,policy_rebalance
2026-08-31,2026-08-31T10:35:00-04:00,2026-08-31T10:35:00-04:00,NVDA,1,buy,220.33999633789062,220.45016633605957,0.11016999816894531,0.0,0.11016999816894531,220.33999633789062,-315,180873.1944709626,99457.56098707588,0.8185967228219719,-0.8185967228219719,policy_rebalance
2026-08-31,2026-08-31T10:35:00-04:00,2026-08-31T10:35:00-04:00,SNDK,-8,sell,1520.489990234375,1519.729745239258,6.0819599609375,0.0,6.0819599609375,12163.919921875,-8,193031.03243287667,99451.47902711495,0.9409568798896165,-0.9409568798896165,policy_rebalance
2026-08-31,2026-08-31T10:40:00-04:00,2026-08-31T10:40:00-04:00,SNDK,8,buy,1523.4000244140625,1524.1617244262695,6.09360009765625,0.0,6.09360009765625,12187.2001953125,0,180837.7386374665,99646.30988075264,0.8147961410098995,-0.8147961410098995,policy_rebalance
2026-08-31,2026-08-31T10:40:00-04:00,2026-08-31T10:40:00-04:00,SNDK,8,buy,1523.4000244140625,1524.1617244262695,6.09360009765625,0.0,6.09360009765625,12187.2001953125,8,168644.44484205634,99640.21628065497,0.9371580315422872,-0.6925339098726792,policy_rebalance
2026-08-31,2026-08-31T10:45:00-04:00,2026-08-31T10:45:00-04:00,TSLA,26,buy,365.05499267578125,365.2375201721191,4.745714904785157,0.0,4.745714904785157,9491.429809570312,-7,159148.26931758126,99559.24710078439,0.8445935937000411,-0.5985282527947864,policy_rebalance
2026-08-31,2026-08-31T10:45:00-04:00,2026-08-31T10:45:00-04:00,SNDK,6,buy,1531.1300048828125,1531.8955698852537,4.593390014648437,0.0,4.593390014648437,9186.780029296875,14,149956.89589826972,99554.65371076972,0.9369113230527814,-0.5062771081895445,policy_rebalance
2026-08-31,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,TSLA,7,buy,363.8599853515625,364.04191534423825,1.2735099487304689,0.0,1.2735099487304689,2547.0198974609375,0,147408.60249086007,99472.0444006501,0.9101163872275057,-0.4819098509439771,policy_rebalance
2026-08-31,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,NVDA,83,buy,219.7899932861328,219.89988828277586,9.121284721374511,0.0,9.121284721374511,18242.569442749023,-232,129156.91176338967,99462.92311592873,0.7267890986176724,-0.2985432934929048,policy_rebalance
2026-08-31,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,SNDK,14,buy,1521.2349853515625,1521.9956028442382,10.648644897460937,0.0,10.648644897460937,21297.289794921875,28,107848.97332357033,99452.27447103127,0.9410127473704637,-0.08442943006783496,policy_rebalance
2026-08-31,2026-08-31T10:55:00-04:00,2026-08-31T10:55:00-04:00,SNDK,-1,sell,1526.93505859375,1526.1715910644532,0.763467529296875,0.0,0.763467529296875,1526.93505859375,27,109375.14491463479,99648.23036385354,0.9250681861409321,-0.09761251670265082,policy_rebalance
2026-08-31,2026-08-31T10:55:00-04:00,2026-08-31T10:55:00-04:00,NVDA,1,buy,219.6300048828125,219.7398198852539,0.10981500244140625,0.0,0.10981500244140625,219.6300048828125,-231,109155.40509474953,99648.12054885109,0.9228651499240066,-0.09540856860654612,policy_rebalance
2026-08-31,2026-08-31T11:00:00-04:00,2026-08-31T11:00:00-04:00,SNDK,1,buy,1525.31005859375,1526.0727136230469,0.762655029296875,0.0,0.762655029296875,1525.31005859375,28,107629.33238112649,99575.76402175149,0.9386915838296461,-0.08087880056452056,policy_rebalance
2026-08-31,2026-08-31T11:05:00-04:00,2026-08-31T11:05:00-04:00,SNDK,-1,sell,1524.0,1523.238,0.762,0.0,0.762,1524.0,27,109152.57038112648,99619.17179103859,0.9218044773822197,-0.09569843252747744,policy_rebalance
2026-08-31,2026-08-31T11:10:00-04:00,2026-08-31T11:10:00-04:00,SNDK,-9,sell,1527.0,1526.2365,6.8715,0.0,6.8715,13743.0,18,122888.69888112647,99702.53874013526,0.7839134402053961,-0.2325533575571594,policy_rebalance
2026-08-31,2026-08-31T11:25:00-04:00,2026-08-31T11:25:00-04:00,SNDK,-1,sell,1539.0400390625,1538.2705190429688,0.76952001953125,0.0,0.76952001953125,1539.0400390625,17,124426.96940016944,99722.13851332862,0.7724683140912575,-0.24773667367290594,policy_rebalance
2026-08-31,2026-08-31T11:25:00-04:00,2026-08-31T11:25:00-04:00,NVDA,1,buy,220.2100067138672,220.3201117172241,0.1101050033569336,0.0,0.1101050033569336,220.2100067138672,-230,124206.64928845222,99722.02840832526,0.7702609286459252,-0.24552870886130976,policy_rebalance
2026-08-31,2026-08-31T11:30:00-04:00,2026-08-31T11:30:00-04:00,SNDK,-1,sell,1532.010009765625,1531.2440047607422,0.7660050048828125,0.0,0.7660050048828125,1532.010009765625,16,125737.89329321295,99592.55344946295,0.7547718936074266,-0.26252303950633354,policy_rebalance
