date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SNDK,46,buy,1516.385009765625,1517.1432022705078,34.87685522460937,0.0,34.87685522460937,69753.71044921875,46,30211.412695556646,99965.1231447754,0.6977804683759286,0.6977804683759286,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,TSLA,-70,sell,352.40008544921875,352.22388540649416,12.334002990722656,0.0,12.334002990722656,24668.005981445312,-70,54867.08467401124,99952.78914178468,0.9446631478860015,0.4510699986952702,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-46,sell,1511.5,1510.7442500000002,34.7645,0.0,34.7645,69529.0,0,124361.32017401126,99593.91966131594,0.24868386139355264,-0.24868386139355264,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,TSLA,53,buy,353.82000732421875,353.99691732788085,9.376230194091796,0.0,9.376230194091796,18752.460388183594,-17,105599.48355563357,99584.54343112186,0.060400338418702314,-0.060400338418702314,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,NVDA,-189,sell,216.83889770507812,216.7304782562256,20.491275833129883,0.0,20.491275833129883,40982.551666259766,-189,146561.5439460602,99564.05215528872,0.472032734439837,-0.472032734439837,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,TSLA,1,buy,355.82000732421875,355.9979173278808,0.17791000366210938,0.0,0.17791000366210938,355.82000732421875,-16,146205.54602873232,99295.30556547549,0.47243160385184724,-0.47243160385184724,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,10,buy,1530.4000244140625,1531.1652244262696,7.652000122070312,0.0,7.652000122070312,15304.000244140625,10,130893.89378446963,99287.65356535342,0.626606012664471,-0.31833001470129674,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,MSTR,26,buy,126.58499908447266,126.64829158401488,1.6456049880981445,0.0,1.6456049880981445,3291.209976196289,26,127601.03820328525,99286.00796036533,0.6597651776848892,-0.28518651141884155,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,-129,sell,218.0800018310547,217.97096183013917,14.066160118103028,0.0,14.066160118103028,28132.320236206055,-318,155719.2922793732,99271.94180024724,0.9432450823639132,-0.5686133408441638,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,SNDK,-10,sell,1523.625,1522.8631875,7.618125,0.0,7.618125,15236.25,0,170947.9241543732,99213.94553193668,0.7895339539396418,-0.7230231419366904,policy_rebalance
