date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SNDK,43,buy,1516.385009765625,1517.1432022705078,32.60227770996094,0.0,32.60227770996094,65204.555419921875,43,34762.84230236817,99967.39772229004,0.652258205230674,0.652258205230674,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,TSLA,-83,sell,352.40008544921875,352.22388540649416,14.624603546142579,0.0,14.624603546142579,29249.207092285156,-83,63997.42479110719,99952.7731187439,0.9449839115518681,0.3597233694048865,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-40,sell,1511.5,1510.7442500000002,30.23,0.0,30.23,60460.0,3,124427.19479110719,99594.63418319703,0.34039545288705736,-0.24933633033113492,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,TSLA,19,buy,353.82000732421875,353.99691732788085,3.361290069580078,0.0,3.361290069580078,6722.580139160156,-64,117701.25336187746,99591.27289312746,0.2729052423892209,-0.18184304651055147,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,MSTR,26,buy,127.13500213623047,127.19856963729858,1.6527550277709961,0.0,1.6527550277709961,3305.510055541992,26,114394.0905513077,99589.6201380997,0.3061010824423221,-0.14865475330339478,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,NVDA,-293,sell,216.83889770507812,216.7304782562256,31.766898513793944,0.0,31.766898513793944,63533.79702758789,-293,177896.1206803818,99557.85323958591,0.9443583252606396,-0.7868617581806923,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,TSLA,46,buy,355.82000732421875,355.9979173278808,8.18386016845703,0.0,8.18386016845703,16367.720336914062,-18,161520.2164832993,99100.42586440282,0.7889432364776304,-0.6298639998207906,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,6,buy,1530.4000244140625,1531.1652244262696,4.591200073242187,0.0,4.591200073242187,9182.400146484375,9,152333.22513674168,99095.83466432957,0.8816416064327913,-0.5372313644942271,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,-25,sell,218.0800018310547,217.97096183013917,2.7260000228881838,0.0,2.7260000228881838,5452.000045776367,-318,157782.49918249514,99093.10866430667,0.9366848225992489,-0.5922651061135636,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,SNDK,-9,sell,1523.625,1522.8631875,6.8563125,0.0,6.8563125,13712.625,0,171488.26786999515,99035.44922070316,0.7982153799541923,-0.7315846923441417,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,MSTR,-26,sell,126.9000015258789,126.83655152511598,1.6497000198364258,0.0,1.6497000198364258,3299.4000396728516,0,174786.01820964817,99033.79952068333,0.7649127778152539,-0.7649127778152539,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NVDA,205,buy,217.8699951171875,217.97893011474608,22.33167449951172,0.0,22.33167449951172,44663.34899902344,-113,130100.33753612523,99011.46784618382,0.31399261485789254,-0.31399261485789254,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,TSLA,-174,sell,359.4200134277344,359.24030342102054,31.26954116821289,0.0,31.26954116821289,62539.08233642578,-192,192608.1503313828,98980.19830501563,0.9459260905685898,-0.9459260905685898,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,TSLA,27,buy,360.5050048828125,360.68525738525386,4.866817565917969,0.0,4.866817565917969,9733.635131835938,-165,182869.64838198095,98736.42333010107,0.8520991769227961,-0.8520991769227961,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,NVDA,1,buy,218.1407012939453,218.24977164459227,0.10907035064697265,0.0,0.10907035064697265,218.1407012939453,-112,182651.39861033636,98736.31425975042,0.8498907922552836,-0.8498907922552836,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,SNDK,6,buy,1526.074951171875,1526.8379886474609,4.578224853515625,0.0,4.578224853515625,9156.44970703125,6,173490.37067845158,98731.7360348969,0.9426708958578517,-0.7571895081145046,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,TSLA,138,buy,360.1400146484375,360.3200846557617,24.84966101074219,0.0,24.84966101074219,49699.322021484375,-27,123766.19899595647,98708.0382293549,0.43986813938372626,-0.2538613999031893,policy_rebalance
