candidate,net_2bps,net_5bps,costs_5bps,drawdown_5bps,first_five,last_four
four_tree_h1,6101.525699507285,11758.860434193033,4158.565110546111,-0.02529975746090607,7417.355480144761,4341.504954048272
four_price_ridge_h1,3877.3319062790542,3154.6546420442173,2542.9847164764415,-0.04584770076137723,5156.982819282668,-2002.3281772384507
four_equal,6211.31720424653,5679.857064647775,891.7129960823057,-0.04515794017753072,9859.934674053278,-4180.077609405504
four_tree_h3,6207.17378529819,2754.7430296252423,3615.351422279362,-0.04404272583987934,6867.2160109408,-4112.472981315557
four_tree_h6,-8849.483395902891,-11302.02320639741,3633.8301827163677,-0.11542993202659013,-6214.510064361166,-5087.513142036245
four_tree_h12,-751.9846060072887,-2807.0025429642847,5217.245577327736,-0.06557071770631717,1368.6545574686606,-4175.657100432945
four_tree_no_wicks_h3,4840.855085383868,3230.2886021389277,2900.4169566383375,-0.02742997186083551,5681.342838787357,-2451.0542366484297
four_pooled_ridge_h3,4602.718867828953,3491.2528822980094,3849.9156586570716,-0.031196317086299885,3624.562127071724,-133.30924477371445
four_pooled_tree_h3,1235.9488035111717,749.1492787094758,1174.753263404845,-0.028981345566707173,2377.742125999459,-1628.5928472899832
four_pooled_lightgbm_h3,-624.9468224334705,-229.8136309010879,1499.2929781303394,-0.03952464784760845,1890.9407609292248,-2120.7543918303127
four_tree_without_SNDK,10036.338556482107,13512.177004284313,3192.6396995124796,-0.023226855606290897,7186.512925014758,6325.664079269554
four_tree_without_TSLA,5286.314377299626,8690.21613221406,3136.4381417732225,-0.04540967524295436,8526.091295162463,164.12483705159684
four_tree_without_MSTR,98.767826123134,347.2188964769157,3371.3944305496193,-0.03736793227221358,-531.4378324736026,878.6567289505183
four_tree_without_NVDA,5669.127571098492,11628.437468742937,2988.640412117006,-0.04082056255928945,7506.611476310922,4121.8259924320155
broad_equal,3003.3267307429924,2519.6683761402674,840.4354856686591,-0.01945453928436247,4056.299763710136,-1536.6313875698688
broad_tree_h3,-750.1700120345922,-6095.7244140750845,12801.845211233636,-0.10186458201563542,-1401.9339289581112,-4693.790485116973
broad_pooled_tree_h3,-1034.9379903178342,-1837.4993800983357,549.3854255542757,-0.045725215150166365,2589.495103033638,-4426.9944831319735
broad_pooled_ridge_h3,-1365.40239522708,-3057.884017646924,4803.047601403243,-0.05873802521525495,976.5007448997349,-4034.3847625466587
broad_pooled_tree_scaled_h3,-363.76711221750884,-2970.772464649097,833.886324779033,-0.03793000679540137,-707.9069385260664,-2262.8655261230306
active8_tree_h3,3579.1121229715063,2279.202924803103,6718.656990931028,-0.05206733626143811,4169.820622785541,-1890.6176979824377
active8_pooled_tree_h3,-1308.7479915937438,-1644.7656535950373,330.56428335571275,-0.03918906409109646,1912.8470013352053,-3557.6126549302426
active8_pooled_ridge_h3,1338.0439561606909,-3020.2008715675474,3534.2548829131088,-0.06305021608141792,2963.1619436053734,-5983.362815172921
sector_pooled_ridge_h3,-1553.7951054400328,-2991.28264254627,4663.566959563255,-0.05368959463306089,769.6095193951769,-3760.892161941447
sector_risk_pooled_ridge_h3,-1308.5661173714616,-768.2698908523016,4100.094092436792,-0.04066948689852323,1609.4590122192167,-2377.7289030715183
pair_NVDA_AMD_h3,2624.6194700593187,1707.3390934220224,348.4459560165405,-0.009044039052194863,333.9205963363929,1373.4184970856295
pair_NVDA_TSM_h3,1087.9327779816813,1217.923554023786,191.72459355926514,-0.0034371150360607006,1217.923554023786,0.0
pair_MSTR_IBIT_h3,-2222.31575285719,-1764.3420628166496,224.357703075409,-0.02108511210787234,-1764.3420628166496,0.0
