date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,TSLA,132,buy,352.40008544921875,352.57628549194334,23.258405639648437,0.0,23.258405639648437,46516.811279296875,132,53459.93031506348,99976.74159436036,0.4652763286488311,0.4652763286488311,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,NVDA,221,buy,217.13999938964844,217.24856938934326,23.99396993255615,0.0,23.99396993255615,47987.939865112305,221,5447.996480018621,99952.74762442781,0.9454942799522684,0.9454942799522684,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,TSLA,-62,sell,353.82000732421875,353.64309732055665,10.968420227050782,0.0,10.968420227050782,21936.840454101562,70,27373.868513893132,100062.66541941071,0.7264327469275769,0.7264327469275769,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,NVDA,-221,sell,216.83889770507812,216.7304782562256,23.960698196411133,0.0,23.960698196411133,47921.396392822266,0,75271.304208519,100038.70472121431,0.24757818068233256,0.24757818068233256,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,NVDA,-322,sell,216.83889770507812,216.7304782562256,34.911062530517576,0.0,34.911062530517576,69822.12506103516,-322,145058.51820702365,100003.7936586838,0.9458593730610619,-0.4505301539070916,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,2,buy,218.0800018310547,218.1890418319702,0.2180800018310547,0.0,0.2180800018310547,436.1600036621094,-320,144622.1401233597,99743.94005011753,0.9493609441441073,-0.44993410176791293,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,TSLA,-70,sell,359.4200134277344,359.24030342102054,12.579700469970703,0.0,12.579700469970703,25159.400939941406,0,169768.96136283115,100050.56292533115,0.6968316459101946,-0.6968316459101946,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NVDA,206,buy,217.8699951171875,217.97893011474608,22.440609497070312,0.0,22.440609497070312,44881.218994140625,-114,124865.30175919345,100028.12231583407,0.2483019661704451,-0.2483019661704451,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,TSLA,-194,sell,359.4200134277344,359.24030342102054,34.86374130249023,0.0,34.86374130249023,69727.48260498047,-194,194557.92062287143,99993.25857453159,0.9457103748434655,-0.9457103748434655,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,TSLA,1,buy,360.5050048828125,360.68525738525386,0.18025250244140625,0.0,0.18025250244140625,360.5050048828125,-193,194197.23536548618,99751.7294755936,0.9468056983713821,-0.9468056983713821,policy_rebalance
