date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,CRM,27,buy,255.9730987548828,256.02429337463377,1.3822547332763673,0.0,1.3822547332763673,6911.273666381836,27,93087.34407888488,99998.61774526672,0.06911369199109725,0.06911369199109725,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,JPM,138,buy,355.3699951171875,355.44106911621094,9.808211865234375,0.0,9.808211865234375,49041.059326171875,138,44036.47654084777,99988.80953340148,0.5595859502043847,0.5595859502043847,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,NFLX,77,buy,81.0,81.0162,1.2474,0.0,1.2474,6237.0,77,37798.22914084777,99987.56213340149,0.6219706898102175,0.6219706898102175,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SMCI,880,buy,36.85150146484375,36.85887176513672,6.4858642578125,0.0,6.4858642578125,32429.3212890625,880,5362.4219875274575,99981.07626914367,0.946365630500995,0.946365630500995,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,JPM,-86,sell,356.0029296875,355.9317291015625,6.123250390625,0.0,6.123250390625,30616.251953125,52,35972.550690261836,99644.18440303039,0.6389899630793924,0.6389899630793924,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SMCI,-880,sell,36.2400016784668,36.232753678131104,6.378240295410157,0.0,6.378240295410157,31891.20147705078,0,67857.37392701721,99637.80616273498,0.3189595742785815,0.3189595742785815,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,CRM,242,buy,259.2200012207031,259.2718452209473,12.546248059082032,0.0,12.546248059082032,62731.240295410156,269,5113.587383547965,99625.2599146759,0.9486717787443917,0.9486717787443917,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,CRM,-26,sell,259.1300048828125,259.0781788818359,1.347476025390625,0.0,1.347476025390625,6737.380126953125,243,11849.620034475698,99577.61185576476,0.8810011626746028,0.8810011626746028,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,JPM,-1,sell,356.20001220703125,356.12877220458984,0.07124000244140626,0.0,0.07124000244140626,356.20001220703125,51,12205.748806680287,99577.54061576232,0.8774246809953025,0.8774246809953025,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NFLX,-77,sell,81.0,80.9838,1.2474,0.0,1.2474,6237.0,0,18441.501406680287,99576.29321576231,0.8148002821643384,0.8148002821643384,policy_rebalance
