date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,CRM,273,buy,255.9730987548828,256.10108530426027,34.9403279800415,0.0,34.9403279800415,69880.65596008301,273,30084.403711936946,99965.05967201995,0.6990508102466775,0.6990508102466775,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SMCI,-370,sell,36.85150146484375,36.83307571411133,6.817527770996094,0.0,6.817527770996094,13635.055541992188,-370,43712.64172615814,99958.24214424896,0.8355060044128659,0.5626909718652638,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,CRM,-176,sell,259.2200012207031,259.0903912200928,22.811360107421876,0.0,22.811360107421876,45622.72021484375,97,89312.55058089446,101048.09007826995,0.3815326020469895,0.11613816241638372,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SMCI,370,buy,36.2400016784668,36.25812167930603,6.704400310516357,0.0,6.704400310516357,13408.800621032715,0,75897.04555955123,101041.38567795944,0.2488518932088739,0.2488518932088739,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,HOOD,692,buy,102.06999969482422,102.12103469467162,35.31621989440918,0.0,35.31621989440918,70632.43978881836,692,5229.289550838468,101006.06945806503,0.9482279671024173,0.9482279671024173,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,HOOD,-692,sell,101.94999694824219,101.89902194976807,35.274698944091796,0.0,35.274698944091796,70549.3978881836,0,75743.41274007797,100879.02321371078,0.2491658788208464,0.2491658788208464,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,CRM,175,buy,259.1300048828125,259.2595698852539,22.673875427246095,0.0,22.673875427246095,45347.75085449219,272,30372.988010158537,100856.34933828353,0.6988490242861745,0.6988490242861745,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NFLX,311,buy,81.0,81.0405,12.5955,0.0,12.5955,25191.0,311,5169.392510158537,100843.75383828353,0.9487385949709057,0.9487385949709057,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NFLX,-1,sell,81.12999725341797,81.08943225479126,0.04056499862670898,0.0,0.04056499862670898,81.12999725341797,310,5250.481942413328,100949.4197628479,0.9479889834458896,0.9479889834458896,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,CRM,-37,sell,257.1000061035156,256.97145610046385,4.756350112915039,0.0,4.756350112915039,9512.700225830078,235,14758.42581813049,100333.42772547912,0.8529061933525205,0.8529061933525205,policy_rebalance
