date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-09-14,2026-09-14T09:35:00-04:00,2026-09-14T09:35:00-04:00,SNDK,-21,sell,1519.0,1518.2405,15.9495,0.0,15.9495,31899.0,-21,78889.4705,46990.470499999996,0.6788397660329876,-0.6788397660329876,policy_rebalance
2026-09-14,2026-09-14T09:35:00-04:00,2026-09-14T09:35:00-04:00,PLTR,-69,sell,168.1699981689453,168.08591316986085,5.801864936828613,0.0,5.801864936828613,11603.729873657227,-69,90487.39850872039,46984.668635063164,0.9258920225988893,-0.9258920225988893,policy_rebalance
2026-09-14,2026-09-14T09:40:00-04:00,2026-09-14T09:40:00-04:00,PLTR,69,buy,167.05999755859375,167.14352755737303,5.763569915771485,0.0,5.763569915771485,11527.139831542969,0,78954.49510726165,47178.975209800716,0.6735101760086568,-0.6735101760086568,policy_rebalance
2026-09-14,2026-09-14T09:40:00-04:00,2026-09-14T09:40:00-04:00,PLTR,70,buy,167.05999755859375,167.14352755737303,5.847099914550781,0.0,5.847099914550781,11694.199829101562,70,67254.44817824554,47173.128109886165,0.9214932625477611,-0.4256940523762064,policy_rebalance
2026-09-14,2026-09-14T09:45:00-04:00,2026-09-14T09:45:00-04:00,SNDK,21,buy,1518.7099609375,1519.4693159179687,15.94645458984375,0.0,15.94645458984375,31892.9091796875,0,35345.592543968196,47048.89271486663,0.24874762179472926,0.24874762179472926,policy_rebalance
2026-09-14,2026-09-14T09:45:00-04:00,2026-09-14T09:45:00-04:00,NVDA,156,buy,209.86000061035156,209.96493061065672,16.369080047607422,0.0,16.369080047607422,32738.160095214844,156,2591.063368705749,47032.52363481903,0.9449091146198343,0.9449091146198343,policy_rebalance
2026-09-14,2026-09-14T09:50:00-04:00,2026-09-14T09:50:00-04:00,NVDA,-156,sell,211.30999755859375,211.20434255981448,16.48217980957031,0.0,16.48217980957031,32964.359619140625,0,35538.94080803681,47264.640423515324,0.24808608529357795,0.24808608529357795,policy_rebalance
2026-09-14,2026-09-14T09:50:00-04:00,2026-09-14T09:50:00-04:00,SNDK,-21,sell,1546.699951171875,1545.926601196289,16.240349487304687,0.0,16.240349487304687,32480.698974609375,-21,68003.39943315888,47248.40007402802,0.9356168361431505,-0.43927411989849957,policy_rebalance
2026-09-14,2026-09-14T10:05:00-04:00,2026-09-14T10:05:00-04:00,PLTR,-22,sell,167.56500244140625,167.48121994018555,1.8432150268554688,0.0,1.8432150268554688,3686.4300537109375,48,71687.98627184296,47272.45587633515,0.8567731436639453,-0.5164853389334985,policy_rebalance
2026-09-14,2026-09-14T10:05:00-04:00,2026-09-14T10:05:00-04:00,SNDK,2,buy,1545.6500244140625,1546.4228494262695,1.5456500244140625,0.0,1.5456500244140625,3091.300048828125,-19,68595.14057299042,47270.910226310734,0.7914057588895806,-0.4511068275307027,policy_rebalance
