date,symbol,horizon,rows,ic,rank_ic,mse_bps2
2026-08-31,SNDK,1,76,0.10493900335995247,0.12809295967190704,3158.8097481678387
2026-08-31,SNDK,3,74,0.3735154289126877,0.2924102184376156,6822.983493403945
2026-08-31,SNDK,6,71,0.43915656999504693,0.3227699530516432,15419.385177369953
2026-08-31,SNDK,12,65,0.4030355181764214,0.3814248251748252,20712.30775471103
2026-08-31,TSLA,1,76,-0.18102717609029048,-0.10687628161312374,701.6682512812336
2026-08-31,TSLA,3,74,-0.4423214776691205,-0.020214735283228428,2591.162609463019
2026-08-31,TSLA,6,71,-0.37157606126177256,0.05254862508383635,3356.9591427397504
2026-08-31,TSLA,12,65,-0.2429173388416677,0.18028846153846154,6027.153184643482
2026-08-31,PLTR,1,76,-0.05230431325533044,-0.048940533151059465,385.143899884253
2026-08-31,PLTR,3,74,-0.008366318853758695,0.038104405775638645,871.1121883132363
2026-08-31,PLTR,6,71,-0.03061230250620403,0.10928906773977196,1973.3068172393203
2026-08-31,PLTR,12,65,0.07563720606068723,0.21638986013986014,2565.107100085347
2026-08-31,NVDA,1,76,0.1912076969921269,0.21856459330143538,260.7917277958823
2026-08-31,NVDA,3,74,-0.06343086596771395,0.1021991854868567,775.8154916562955
2026-08-31,NVDA,6,71,-0.0488411342382279,0.13058350100603622,1606.8097475477125
2026-08-31,NVDA,12,65,-0.40212225584823863,-0.34986888111888115,2585.465159909044
2026-09-01,SNDK,1,76,-0.02937381657771739,0.022556390977443608,1141.5707519097161
2026-09-01,SNDK,3,74,-0.10563331652534823,-0.038696778970751564,4334.020814134717
2026-09-01,SNDK,6,71,-0.18540463019477768,-0.008786049631120053,10931.40389242764
2026-09-01,SNDK,12,65,-0.34125328179505743,-0.3013111888111888,22951.786748217775
2026-09-01,TSLA,1,76,0.2865676802537431,0.16620642515379358,296.4960855039061
2026-09-01,TSLA,3,74,0.11738126697859523,0.051877082562014065,864.0769082321335
2026-09-01,TSLA,6,71,0.0368649952488407,0.17471495640509724,1501.585392776541
2026-09-01,TSLA,12,65,0.28572802643732176,0.4222465034965035,2190.168339222675
2026-09-01,PLTR,1,76,-0.14390091011854209,0.03412166780587833,713.8251745487407
2026-09-01,PLTR,3,74,0.06800283927932806,-0.017726767863754163,2412.9798018589076
2026-09-01,PLTR,6,71,0.20561681330273943,0.08604963112005365,4848.794087098979
2026-09-01,PLTR,12,65,0.3757592485310113,0.03859265734265734,6874.31017953312
2026-09-01,NVDA,1,76,-0.005944484614006685,-0.008776486671223514,219.5626468689242
2026-09-01,NVDA,3,74,-0.12847745832620186,-0.14088115512773045,668.8023956374791
2026-09-01,NVDA,6,71,-0.1244094757122651,-0.11737089201877934,1547.6102879197988
2026-09-01,NVDA,12,65,-0.10859416637918289,-0.08356643356643358,3037.5397285949384
2026-09-02,SNDK,1,76,0.08646593183696316,-0.009487354750512645,2000.225835201412
2026-09-02,SNDK,3,74,-0.15466825538541615,-0.14262865605331357,5574.024694288159
2026-09-02,SNDK,6,71,-0.23288092182743908,0.016398390342052312,6623.442919903482
2026-09-02,SNDK,12,65,0.021803389092483152,0.16289335664335663,4378.823673404913
2026-09-02,TSLA,1,76,0.3797405897488648,0.06663021189336978,580.7523672623728
2026-09-02,TSLA,3,74,0.09994236385605555,0.020688633839318765,1681.0981170186055
2026-09-02,TSLA,6,71,0.40324803325550607,0.1873574782025486,2058.633007724868
2026-09-02,TSLA,12,65,0.2861523997731302,0.19383741258741258,1710.649668945714
2026-09-02,PLTR,1,76,-0.07860908044213506,-0.05419002050580998,739.7469168349381
2026-09-02,PLTR,3,74,-0.21101423223652252,-0.09192151055164752,3457.87270254557
