date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,PLTR,147,buy,186.0500030517578,186.14302805328367,13.674675224304199,0.0,13.674675224304199,27349.3504486084,147,19643.3948761673,46992.74532477569,0.5819909064599631,0.5819909064599631,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,NVDA,-79,sell,217.13999938964844,217.03142938995362,8.577029975891113,0.0,8.577029975891113,17154.059951782227,-79,36788.87779797363,46984.168294799805,0.9472001317796286,0.21699416775574984,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,PLTR,-147,sell,185.72999572753906,185.6371307296753,13.651154685974122,0.0,13.651154685974122,27302.309371948242,0,64077.536015235906,46947.263096534734,0.364883313505992,-0.364883313505992,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,NVDA,79,buy,216.83889770507812,216.94731715393064,8.565136459350587,0.0,8.565136459350587,17130.272918701172,0,46938.697960075384,46938.697960075384,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-21,sell,1511.5,1510.7442500000002,15.87075,0.0,15.87075,31741.5,-21,78664.3272100754,46922.8272100754,0.6764617966835634,-0.6764617966835634,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,PLTR,-63,sell,185.72999572753906,185.6371307296753,5.85049486541748,0.0,5.85049486541748,11700.989730834961,-63,90359.46644604494,46916.97671520998,0.9259439284533304,-0.9259439284533304,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,15,buy,1530.4000244140625,1531.1652244262696,11.478000183105468,0.0,11.478000183105468,22956.000366210938,-6,67391.9880796509,46514.89762554933,0.44882589277449814,-0.44882589277449814,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,PLTR,63,buy,185.6300048828125,185.7228198852539,5.847345153808594,0.0,5.847345153808594,11694.690307617188,0,55691.4504268799,46509.050280395524,0.19743254465797888,-0.19743254465797888,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,TSLA,-63,sell,355.82000732421875,355.6420973205567,11.20833023071289,0.0,11.20833023071289,22416.66046142578,-63,78096.90255807497,46497.84195016482,0.6795812296359305,-0.6795812296359305,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,-53,sell,218.0800018310547,217.97096183013917,5.779120048522949,0.0,5.779120048522949,11558.240097045898,-53,89649.36353507235,46492.062830116294,0.9282724421726439,-0.9282724421726439,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,SNDK,6,buy,1523.625,1524.3868125,4.570875,0.0,4.570875,9141.75,0,80503.04266007234,46312.47207291414,0.7382583795857135,-0.7382583795857135,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NVDA,4,buy,217.8699951171875,217.97893011474608,0.435739990234375,0.0,0.435739990234375,871.47998046875,-49,79631.12693961336,46312.036332923904,0.7194477558094854,-0.7194477558094854,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,TSLA,-27,sell,359.4200134277344,359.24030342102054,4.852170181274414,0.0,4.852170181274414,9704.340362548828,-90,89330.61513198091,46307.18416274263,0.9290876080488099,-0.9290876080488099,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,TSLA,90,buy,360.5050048828125,360.68525738525386,16.222725219726563,0.0,16.222725219726563,32445.450439453125,0,56868.94196730807,46180.04760390475,0.23146131106412116,-0.23146131106412116,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,NVDA,17,buy,218.1407012939453,218.24977164459227,1.8541959609985352,0.0,1.8541959609985352,3708.3919219970703,-32,53158.69584935,46178.19340794375,0.1511644766987666,-0.1511644766987666,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,SNDK,-2,sell,1526.074951171875,1525.3119136962891,1.526074951171875,0.0,1.526074951171875,3052.14990234375,-2,56209.319676742576,46176.667332992576,0.21726670466280731,-0.21726670466280731,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,TSLA,89,buy,360.5050048828125,360.68525738525386,16.042472717285158,0.0,16.042472717285158,32084.945434570312,89,24108.331769454984,46160.6248602753,0.9124139438278204,0.47772951855766527,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,TSLA,-58,sell,360.1400146484375,359.9599446411133,10.444060424804688,0.0,10.444060424804688,20888.120849609375,31,44986.00855863956,46086.12879789737,0.460627985527694,0.023870962216900375,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,NVDA,32,buy,218.8800048828125,218.9894448852539,3.502080078125,0.0,3.502080078125,7004.16015625,0,37978.34632231143,46082.62671781924,0.30867165189598483,0.17586411567060362,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,SNDK,-19,sell,1530.030029296875,1529.2650142822267,14.535285278320313,0.0,14.535285278320313,29070.570556640625,-21,67034.38159367374,46068.091432540925,0.9398038799313889,-0.45511523289030686,policy_rebalance
2026-08-31,2026-08-31T10:05:00-04:00,2026-08-31T10:05:00-04:00,TSLA,-31,sell,360.4100036621094,360.22979866027833,5.586355056762695,0.0,5.586355056762695,11172.71011352539,0,78201.50535214237,46170.309429290806,0.6937617771851171,-0.6937617771851171,policy_rebalance
2026-08-31,2026-08-31T10:05:00-04:00,2026-08-31T10:05:00-04:00,SNDK,6,buy,1525.2950439453125,1526.0576914672852,4.575885131835937,0.0,4.575885131835937,9151.770263671875,-15,69045.15920333866,46165.73354415897,0.4955932442250658,-0.4955932442250658,policy_rebalance
2026-08-31,2026-08-31T10:05:00-04:00,2026-08-31T10:05:00-04:00,PLTR,-106,sell,184.86000061035156,184.7675706100464,9.797580032348632,0.0,9.797580032348632,19595.160064697266,-106,88630.52168800357,46155.93596412662,0.9202410228857477,-0.9202410228857477,policy_rebalance
2026-08-31,2026-08-31T10:10:00-04:00,2026-08-31T10:10:00-04:00,SNDK,4,buy,1518.2850341796875,1519.0441766967772,3.036570068359375,0.0,3.036570068359375,6073.14013671875,-11,82554.34498121646,46260.16999342349,0.7845663989767585,-0.7845663989767585,policy_rebalance
2026-08-31,2026-08-31T10:10:00-04:00,2026-08-31T10:10:00-04:00,PLTR,-35,sell,184.83999633789062,184.7475763397217,3.234699935913086,0.0,3.234699935913086,6469.399871826172,-141,89020.51015310672,46256.93529348758,0.9244792070269242,-0.9244792070269242,policy_rebalance
2026-08-31,2026-08-31T10:15:00-04:00,2026-08-31T10:15:00-04:00,SNDK,11,buy,1511.425048828125,1512.1807613525389,8.312837768554688,0.0,8.312837768554688,16625.675537109375,0,72386.5217782288,46337.56137478641,0.5621564801987263,-0.5621564801987263,policy_rebalance
2026-08-31,2026-08-31T10:15:00-04:00,2026-08-31T10:15:00-04:00,PLTR,141,buy,184.74440002441406,184.83677222442626,13.024480201721191,0.0,13.024480201721191,26048.960403442383,0,46324.53689458469,46324.53689458469,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T10:15:00-04:00,2026-08-31T10:15:00-04:00,SNDK,6,buy,1511.425048828125,1512.1807613525389,4.534275146484375,0.0,4.534275146484375,9068.55029296875,6,37251.45232646946,46320.00261943821,0.1957804356678324,0.1957804356678324,policy_rebalance
2026-08-31,2026-08-31T10:15:00-04:00,2026-08-31T10:15:00-04:00,PLTR,17,buy,184.74440002441406,184.83677222442626,1.5703274002075196,0.0,1.5703274002075196,3140.654800415039,17,34109.22719865421,46318.432292038,0.2635927964142801,0.2635927964142801,policy_rebalance
2026-08-31,2026-08-31T10:20:00-04:00,2026-08-31T10:20:00-04:00,SNDK,13,buy,1518.510009765625,1519.2692647705078,9.870315063476562,0.0,9.870315063476562,19740.630126953125,19,14358.72675663761,46348.70186955265,0.690202180914367,0.690202180914367,policy_rebalance
2026-08-31,2026-08-31T10:20:00-04:00,2026-08-31T10:20:00-04:00,PLTR,28,buy,184.60499572753906,184.69729822540282,2.5844699401855467,0.0,2.5844699401855467,5168.939880371094,45,9187.20240632633,46346.11739961246,0.8017697506975384,0.8017697506975384,policy_rebalance
2026-08-31,2026-08-31T10:25:00-04:00,2026-08-31T10:25:00-04:00,SNDK,-12,sell,1511.550048828125,1510.7942738037111,9.06930029296875,0.0,9.06930029296875,18138.6005859375,7,27316.733691970865,46191.75914363102,0.40862322201172696,0.40862322201172696,policy_rebalance
