date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-09-14,2026-09-14T09:35:00-04:00,2026-09-14T09:35:00-04:00,TSLA,-32,sell,365.33099365234375,365.1483281555176,5.8452958984375,0.0,5.8452958984375,11690.591796875,-32,58691.166500976564,47000.574704101564,0.2487329542345959,-0.2487329542345959,policy_rebalance
2026-09-14,2026-09-14T09:35:00-04:00,2026-09-14T09:35:00-04:00,NVDA,-156,sell,209.6699981689453,209.56516316986085,16.354259857177734,0.0,16.354259857177734,32708.51971435547,-156,91383.33195547486,46984.22044424439,0.9449792098587303,-0.9449792098587303,policy_rebalance
2026-09-14,2026-09-14T09:40:00-04:00,2026-09-14T09:40:00-04:00,NVDA,1,buy,209.27000427246094,209.37463927459714,0.10463500213623046,0.0,0.10463500213623046,209.27000427246094,-155,91173.95731620026,47162.70626334382,0.9331790844891195,-0.9331790844891195,policy_rebalance
2026-09-14,2026-09-14T09:45:00-04:00,2026-09-14T09:45:00-04:00,TSLA,1,buy,361.7300109863281,361.9108759918213,0.18086500549316406,0.0,0.18086500549316406,361.7300109863281,-31,90812.04644020845,47070.11600502778,0.9292930238478354,-0.9292930238478354,policy_rebalance
2026-09-14,2026-09-14T09:45:00-04:00,2026-09-14T09:45:00-04:00,NVDA,-1,sell,209.86000061035156,209.7550706100464,0.10493000030517578,0.0,0.10493000030517578,209.86000061035156,-156,91021.80151081849,47070.011075027476,0.933753560536322,-0.933753560536322,policy_rebalance
2026-09-14,2026-09-14T09:50:00-04:00,2026-09-14T09:50:00-04:00,TSLA,4,buy,360.7049865722656,360.88533906555176,0.7214099731445313,0.0,0.7214099731445313,1442.8199462890625,-27,89578.26015455628,46874.86589796448,0.9110083503928738,-0.9110083503928738,policy_rebalance
2026-09-14,2026-09-14T09:50:00-04:00,2026-09-14T09:50:00-04:00,NVDA,1,buy,211.30999755859375,211.41565255737302,0.10565499877929688,0.0,0.10565499877929688,211.30999755859375,-155,89366.8445019989,46874.7602429657,0.9065024341198591,-0.9065024341198591,policy_rebalance
2026-09-14,2026-09-14T09:50:00-04:00,2026-09-14T09:50:00-04:00,SNDK,1,buy,1546.699951171875,1547.473301147461,0.7733499755859375,0.0,0.7733499755859375,1546.699951171875,1,87819.37120085144,46873.98689299011,0.9395143688276912,-0.873520411253616,policy_rebalance
2026-09-14,2026-09-14T09:55:00-04:00,2026-09-14T09:55:00-04:00,SNDK,-1,sell,1524.7900390625,1524.0276440429689,0.76239501953125,0.0,0.76239501953125,1524.7900390625,0,89343.39884489441,46920.54406278992,0.9041424311988681,-0.9041424311988681,policy_rebalance
2026-09-14,2026-09-14T09:55:00-04:00,2026-09-14T09:55:00-04:00,PLTR,-3,sell,168.4499969482422,168.3657719497681,0.25267499542236327,0.0,0.25267499542236327,505.34999084472656,-3,89848.49616074371,46920.291387794496,0.9149176934590874,-0.9149176934590874,policy_rebalance
2026-09-14,2026-09-14T10:00:00-04:00,2026-09-14T10:00:00-04:00,TSLA,10,buy,360.2250061035156,360.4051186065674,1.801125030517578,0.0,1.801125030517578,3602.2500610351562,-17,86244.44497467804,46943.105924385076,0.8372121587693558,-0.8372121587693558,policy_rebalance
2026-09-14,2026-09-14T10:00:00-04:00,2026-09-14T10:00:00-04:00,PLTR,1,buy,168.35499572753906,168.4391732254028,0.08417749786376953,0.0,0.08417749786376953,168.35499572753906,-2,86076.00580145264,46943.021746887214,0.8336272910927455,-0.8336272910927455,policy_rebalance
