time,action,quantity,price,shares_before,shares_after,assumed_cost
2026-09-14T09:45:00-04:00,B,5,1519.4693159179687,0,5,3.79677490234375
2026-09-14T09:50:00-04:00,B,9,1547.473301147461,5,14,6.960149780273437
2026-09-14T09:55:00-04:00,S,11,1524.0276440429689,14,3,8.38634521484375
2026-09-14T10:00:00-04:00,B,3,1532.8560108032225,3,6,2.2981349487304685
2026-09-14T10:10:00-04:00,B,4,1553.9816806640624,6,10,3.10641015625
2026-09-14T10:20:00-04:00,S,1,1564.7172500000001,10,9,0.78275
2026-09-14T10:25:00-04:00,S,2,1557.0660482177734,9,7,1.557844970703125
2026-09-14T10:30:00-04:00,S,1,1555.591810119629,7,6,0.7781849975585937
2026-09-14T10:45:00-04:00,B,4,1556.442871582031,6,10,3.111330078125
2026-09-14T10:50:00-04:00,S,1,1545.8568118896485,10,9,0.7733150634765625
2026-09-14T11:00:00-04:00,B,1,1544.441878967285,9,10,0.7718350219726563
2026-09-14T11:15:00-04:00,B,3,1532.9060846557616,10,13,2.2982100219726562
2026-09-14T11:20:00-04:00,S,1,1530.8341755981446,13,12,0.7657999877929688
2026-09-14T11:25:00-04:00,S,1,1529.055036315918,12,11,0.7649099731445312
2026-09-14T11:35:00-04:00,S,9,1548.2555142822266,11,2,6.970635131835937
2026-09-14T11:45:00-04:00,S,2,1542.4134660644531,2,0,1.54318505859375
2026-09-14T11:50:00-04:00,B,3,1534.2316983032226,0,3,2.3001974487304686
2026-09-14T12:20:00-04:00,S,2,1543.6278244018556,3,1,1.5444000244140625
2026-09-14T12:25:00-04:00,S,1,1544.8872041625978,1,0,0.7728300170898438
2026-09-14T12:25:00-04:00,X,1,1544.8872041625978,0,-1,0.7728300170898438
2026-09-14T12:40:00-04:00,C,1,1546.698011352539,-1,0,0.7729625244140625
2026-09-14T13:05:00-04:00,B,1,1559.7794999999999,0,1,0.7795
2026-09-14T13:20:00-04:00,B,1,1568.5939636230469,1,2,0.783905029296875
2026-09-14T13:30:00-04:00,S,2,1570.414351196289,2,0,1.571199951171875
2026-09-14T13:45:00-04:00,B,1,1573.1161210327148,0,1,0.7861649780273438
2026-09-14T13:50:00-04:00,B,3,1575.8076516723631,1,4,2.3625302124023437
2026-09-14T13:55:00-04:00,S,1,1576.88120892334,4,3,0.7888350219726562
2026-09-14T14:00:00-04:00,B,3,1579.3142869262695,3,6,2.3677875366210936
2026-09-14T14:05:00-04:00,S,1,1575.3769565429689,6,5,0.78808251953125
2026-09-14T14:15:00-04:00,S,3,1572.0236535644533,5,2,2.359215087890625
2026-09-14T14:20:00-04:00,S,1,1569.2150000000001,2,1,0.785
2026-09-14T14:25:00-04:00,B,4,1565.8675034179687,1,5,3.130169921875
2026-09-14T14:35:00-04:00,S,1,1564.8371851196289,5,4,0.7828099975585937
2026-09-14T14:40:00-04:00,S,1,1563.767773803711,4,3,0.7822750244140625
2026-09-14T14:45:00-04:00,S,1,1563.212997619629,3,2,0.7819974975585937
2026-09-14T14:55:00-04:00,S,1,1565.8416875,2,1,0.7833125
2026-09-14T15:00:00-04:00,S,1,1563.537786315918,1,0,0.7821599731445312
2026-09-14T15:10:00-04:00,X,1,1561.0690505981447,0,-1,0.7809249877929687
2026-09-14T15:15:00-04:00,X,3,1557.7507642822266,-1,-4,2.3377950439453126
2026-09-14T15:20:00-04:00,C,1,1562.9110698852537,-4,-3,0.7810650024414062
2026-09-14T15:25:00-04:00,C,1,1560.5499045410156,-3,-2,0.779885009765625
2026-09-14T15:45:00-04:00,C,1,1564.5919636230467,-2,-1,0.781905029296875
2026-09-14T15:55:00-04:00,C,1,1553.7865147705077,-1,0,0.7765050048828125
