time,action,quantity,price,shares_before,shares_after,assumed_cost
2026-09-15T09:40:00-04:00,X,5,1549.844685119629,0,-5,3.8765499877929686
2026-09-15T09:50:00-04:00,C,1,1565.1922391967773,-5,-4,0.7822050170898438
2026-09-15T09:55:00-04:00,X,4,1555.6518386840821,-4,-8,3.112860107421875
2026-09-15T10:00:00-04:00,C,1,1557.7785,-8,-7,0.7785
2026-09-15T10:10:00-04:00,C,2,1565.8075369262694,-7,-5,1.5650250244140624
2026-09-15T10:15:00-04:00,C,5,1560.0546619262695,-5,0,3.898187561035156
2026-09-15T10:20:00-04:00,B,5,1565.000859375,0,5,3.910546875
2026-09-15T10:30:00-04:00,B,3,1564.3168016967772,5,8,2.345302551269531
2026-09-15T10:40:00-04:00,S,6,1554.3724494018556,8,2,4.665450073242187
2026-09-15T10:45:00-04:00,S,2,1552.0485386962891,2,0,1.552824951171875
2026-09-15T11:15:00-04:00,B,5,1537.898569885254,0,5,3.8428250122070313
2026-09-15T11:20:00-04:00,S,4,1532.803161315918,5,1,3.067139892578125
2026-09-15T11:30:00-04:00,S,1,1534.852185119629,1,0,0.7678099975585938
2026-09-15T11:35:00-04:00,B,2,1540.5799636230468,0,2,1.53981005859375
2026-09-15T11:45:00-04:00,B,2,1540.9000698852537,2,4,1.5401300048828126
2026-09-15T11:50:00-04:00,S,2,1537.220995239258,4,2,1.537989990234375
2026-09-15T12:00:00-04:00,B,1,1531.630422729492,2,3,0.7654324951171875
2026-09-15T12:05:00-04:00,S,2,1532.9431059570313,3,1,1.5337099609375
2026-09-15T12:10:00-04:00,S,1,1523.7477547607423,1,0,0.7622550048828125
2026-09-15T12:25:00-04:00,B,1,1529.7745147705077,0,1,0.7645050048828125
2026-09-15T12:35:00-04:00,B,2,1525.462301147461,1,3,1.524699951171875
2026-09-15T12:50:00-04:00,S,1,1525.7667642822266,3,2,0.7632650146484375
2026-09-15T13:00:00-04:00,B,1,1531.955536376953,2,3,0.765594970703125
2026-09-15T13:05:00-04:00,S,2,1526.7962785644531,3,1,1.52756005859375
2026-09-15T13:15:00-04:00,S,1,1530.8141660766603,1,0,0.7657899780273437
2026-09-15T13:25:00-04:00,X,2,1530.5243940429689,0,-2,1.5312900390625
2026-09-15T13:30:00-04:00,C,2,1532.1757391967772,-2,0,1.5314100341796875
2026-09-15T13:30:00-04:00,B,3,1532.1757391967772,0,3,2.297115051269531
2026-09-15T13:35:00-04:00,S,2,1533.9676178588868,3,1,1.5347349853515626
2026-09-15T13:40:00-04:00,S,1,1534.0126392822267,1,0,0.7673900146484375
2026-09-15T14:00:00-04:00,X,4,1522.8681898803711,0,-4,3.047260009765625
2026-09-15T14:05:00-04:00,C,4,1520.8200886230468,-4,0,3.0401201171875
2026-09-15T14:20:00-04:00,X,1,1514.0625363159181,0,-1,0.7574099731445313
2026-09-15T14:30:00-04:00,C,1,1518.4788306884766,-1,0,0.7588599853515625
2026-09-15T14:35:00-04:00,X,1,1512.733245239258,0,-1,0.7567449951171875
2026-09-15T14:40:00-04:00,C,1,1516.572848876953,-1,0,0.757907470703125
2026-09-15T14:40:00-04:00,B,2,1516.572848876953,0,2,1.51581494140625
2026-09-15T14:45:00-04:00,S,1,1514.2205383300782,2,1,0.757489013671875
2026-09-15T14:50:00-04:00,S,1,1515.2420000000002,1,0,0.758
2026-09-15T15:00:00-04:00,B,1,1516.804165649414,0,1,0.7580230712890625
2026-09-15T15:05:00-04:00,S,1,1519.6448267822266,1,0,0.7602025146484375
2026-09-15T15:20:00-04:00,X,1,1517.7857714233398,0,-1,0.7592725219726563
2026-09-15T15:30:00-04:00,X,3,1519.309911315918,-1,-4,2.280104919433594
2026-09-15T15:35:00-04:00,X,7,1529.2350000000001,-4,-11,5.355
2026-09-15T15:40:00-04:00,X,2,1528.8301732177736,-11,-13,1.529594970703125
2026-09-15T15:45:00-04:00,C,1,1532.7659999999998,-13,-12,0.766
