date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SNDK,46,buy,1516.385009765625,1516.6882867675781,13.95074208984375,0.0,13.95074208984375,69753.71044921875,46,30232.338808691406,99986.04925791016,0.697634429672201,0.697634429672201,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,MSTR,53,buy,127.1449966430664,127.17042564239502,1.3477369644165038,0.0,1.3477369644165038,6738.6848220825195,53,23492.30624964447,99984.70152094573,0.7650409923489838,0.7650409923489838,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,NVDA,-83,sell,217.13999938964844,217.0965713897705,3.6045239898681642,0.0,3.6045239898681642,18022.61994934082,-83,41511.321674995415,99981.09699695586,0.9453288477472876,0.5848082995502708,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-34,sell,1511.5,1511.1977,10.2782,0.0,10.2782,51391.0,12,92892.04347499541,99770.57007869415,0.4297237510913785,0.068943442923833,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,MSTR,136,buy,127.13500213623047,127.16042913665771,3.458072058105469,0.0,3.458072058105469,17290.360290527344,189,75598.22511240997,99767.11200663605,0.6030458605363579,0.24225304720275426,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,-12,sell,1530.4000244140625,1530.0939444091798,3.67296005859375,0.0,3.67296005859375,18364.80029296875,0,93959.35244532012,99783.27712030792,0.4211648102945488,0.058365738659454255,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,TSLA,-74,sell,355.82000732421875,355.74884332275394,5.266136108398437,0.0,5.266136108398437,26330.680541992188,-74,120284.76685120392,99778.01098419953,0.6850796567969233,-0.2055237989285211,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,-119,sell,218.0800018310547,218.0363858306885,5.1903040435791015,0.0,5.1903040435791015,25951.520217895508,-202,146231.09676505585,99772.82068015594,0.9452214049470848,-0.46564059999699,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NVDA,202,buy,217.8699951171875,217.91356911621094,8.801947802734375,0.0,8.801947802734375,44009.739013671875,0,102212.55580358123,99599.57509832,0.507845352072156,-0.026234857956791677,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,TSLA,-45,sell,359.4200134277344,359.34812942504885,3.234780120849609,0.0,3.234780120849609,16173.900604248047,-119,118383.22162770842,99596.34031819915,0.6702563736078705,-0.18863023731080175,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,MSTR,218,buy,126.9000015258789,126.92538152618408,5.53284006652832,0.0,5.53284006652832,27664.2003326416,407,90713.48845500029,99590.80747813261,0.9480722629913907,0.08913793599958046,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,MSTR,-126,sell,126.66000366210938,126.63467166137696,3.191832092285156,0.0,3.191832092285156,15959.160461425781,281,106669.45708433379,99360.82253233183,0.7899648433824751,-0.07355650210749551,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,TSLA,119,buy,360.5050048828125,360.57710588378905,8.580019116210938,0.0,8.580019116210938,42900.09558105469,0,63760.781484162886,99352.24251321562,0.35823510500347727,0.35823510500347727,policy_rebalance
2026-08-31,2026-08-31T09:55:00-04:00,2026-08-31T09:55:00-04:00,TSLA,163,buy,360.5050048828125,360.57710588378905,11.752463159179687,0.0,11.752463159179687,58762.31579589844,163,4986.713225105268,99340.49005005644,0.9498018056626002,0.9498018056626002,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,MSTR,-96,sell,126.98999786376953,126.96459986419679,2.438207958984375,0.0,2.438207958984375,12191.039794921875,185,17175.314812068158,99371.28680456083,0.8271601851564242,0.8271601851564242,policy_rebalance
2026-08-31,2026-08-31T10:00:00-04:00,2026-08-31T10:00:00-04:00,TSLA,30,buy,360.1400146484375,360.2120426513672,2.160840087890625,0.0,2.160840087890625,10804.200439453125,193,6368.953532527143,99369.12596447294,0.9359061129831794,0.9359061129831794,policy_rebalance
2026-08-31,2026-08-31T10:05:00-04:00,2026-08-31T10:05:00-04:00,NVDA,6,buy,219.07000732421875,219.1138213256836,0.2628840087890625,0.0,0.2628840087890625,1314.4200439453125,6,5054.270604573041,99379.34624239043,0.9491416396295719,0.9491416396295719,policy_rebalance
