date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SNDK,46,buy,1516.385009765625,1516.6882867675781,13.95074208984375,0.0,13.95074208984375,69753.71044921875,46,30232.338808691406,99986.04925791016,0.697634429672201,0.697634429672201,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,NVDA,-115,sell,217.13999938964844,217.0965713897705,4.994219985961914,0.0,4.994219985961914,24971.09992980957,-115,55198.44451851501,99981.05503792419,0.9474275935885843,0.44791096175592987,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-29,sell,1511.5,1511.1977,8.7667,0.0,8.7667,43833.5,17,99023.17781851502,99782.20458243103,0.5074248804981697,0.00760683497716245,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,MSTR,99,buy,127.13500213623047,127.16042913665771,2.5172730422973633,0.0,2.5172730422973633,12586.365211486816,99,86434.29533398591,99779.68730938874,0.6335792399463883,0.13374858485998783,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,-13,sell,1530.4000244140625,1530.0939444091798,3.9790400634765626,0.0,3.9790400634765626,19895.200317382812,4,106325.51661130524,99899.831407753,0.4377656558707299,-0.06432128175797465,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,TSLA,-83,sell,355.82000732421875,355.74884332275394,5.9066121215820315,0.0,5.9066121215820315,29533.060607910156,-83,135852.6706070938,99893.9247956314,0.7334357517275623,-0.35996929628131863,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,-92,sell,218.0800018310547,218.0363858306885,4.012672033691406,0.0,4.012672033691406,20063.36016845703,-207,155912.01810351716,99889.91212359772,0.9343199329125218,-0.5608384749663317,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,SNDK,-4,sell,1523.625,1523.320275,1.2189,0.0,1.2189,6094.5,0,162005.29920351715,99637.4492508194,0.8781241482263482,-0.6259478782490496,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NVDA,207,buy,217.8699951171875,217.91356911621094,9.019817797851562,0.0,9.019817797851562,45099.08898925781,0,116897.19039646149,99628.42943302155,0.42553075971216986,-0.17333165906273196,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,TSLA,-38,sell,359.4200134277344,359.34812942504885,2.731592102050781,0.0,2.731592102050781,13657.960510253906,-121,130552.41931461335,99625.6978409195,0.5626351733598108,-0.3104291577769129,policy_rebalance
