date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SNDK,46,buy,1516.385009765625,1516.6882867675781,13.95074208984375,0.0,13.95074208984375,69753.71044921875,46,30232.338808691406,99986.04925791016,0.697634429672201,0.697634429672201,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,INTC,-274,sell,90.93000030517578,90.91181430511475,4.982964016723633,0.0,4.982964016723633,24914.820083618164,-274,55142.17592829285,99981.06629389344,0.9468645818855305,0.4484738163703623,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-45,sell,1511.5,1511.1977,13.6035,0.0,13.6035,68017.5,1,123146.07242829286,100014.01175934754,0.2615139639821597,-0.23128819914358986,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,INTC,274,buy,89.94000244140625,89.95799044189452,4.9287121337890625,0.0,4.9287121337890625,24643.560668945312,0,98497.58304721376,100009.08304721376,0.015113627222103704,0.015113627222103704,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,AVGO,-59,sell,366.8900146484375,366.8166366455078,4.329302172851563,0.0,4.329302172851563,21646.510864257812,-59,120139.76460929873,100004.75374504091,0.23156910043794976,-0.20134053742676486,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,CRM,270,buy,259.2200012207031,259.2718452209473,13.997880065917968,0.0,13.997880065917968,69989.40032958984,270,50136.36639964295,99990.75586497498,0.931560226623665,0.4985899849847535,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,-1,sell,1530.4000244140625,1530.0939444091798,0.3060800048828125,0.0,0.3060800048828125,1530.4000244140625,0,51666.46034405213,99992.72108623963,0.9161061015183954,0.483297786250942,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,CRM,-1,sell,259.1300048828125,259.0781788818359,0.0518260009765625,0.0,0.0518260009765625,259.1300048828125,269,51925.538522933966,99992.66926023865,0.9135150863101424,0.48070654671900265,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,AVGO,59,buy,366.760009765625,366.83336176757814,4.327768115234375,0.0,4.327768115234375,21638.840576171875,0,30282.370178646855,99988.34149212342,0.6971409893719224,0.6971409893719224,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SMCI,-685,sell,36.47999954223633,36.472703542327885,4.997759937286377,0.0,4.997759937286377,24988.799686431885,-685,55266.17210514146,99983.34373218613,0.9471054624213852,0.4472462107971045,policy_rebalance
