date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,TSLA,-28,sell,359.3349914550781,359.2631244567871,2.0122759521484377,0.0,2.0122759521484377,10061.379760742188,-28,110059.36748479004,99997.98772404785,0.10061582227541759,-0.10061582227541759,policy_rebalance
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,MSTR,124,buy,136.3699951171875,136.39726911621094,3.38197587890625,0.0,3.38197587890625,16909.87939453125,124,93146.10611437989,99994.60574816895,0.26972714131399356,0.06848869079034764,policy_rebalance
2026-09-08,2026-09-08T09:45:00-04:00,2026-09-08T09:45:00-04:00,TSLA,28,buy,357.67999267578125,357.7515286743164,2.003007958984375,0.0,2.003007958984375,10015.039794921875,0,83129.06331149903,100171.62361423341,0.1701336135707078,0.1701336135707078,policy_rebalance
2026-09-08,2026-09-08T09:45:00-04:00,2026-09-08T09:45:00-04:00,MSTR,3,buy,137.44000244140625,137.46749044189454,0.08246400146484376,0.0,0.08246400146484376,412.32000732421875,127,82716.66084017335,100171.54115023195,0.17424989283014716,0.17424989283014716,policy_rebalance
2026-09-08,2026-09-08T09:55:00-04:00,2026-09-08T09:55:00-04:00,TSLA,171,buy,358.67999267578125,358.7517286743164,12.266855749511718,0.0,12.266855749511718,61334.278747558594,171,21370.115236865255,100144.03491459963,0.7866062091956934,0.7866062091956934,policy_rebalance
2026-09-08,2026-09-08T09:55:00-04:00,2026-09-08T09:55:00-04:00,MSTR,24,buy,137.32000732421875,137.34747132568359,0.65913603515625,0.0,0.65913603515625,3295.68017578125,151,18073.77592504885,100143.37577856447,0.8195210039152934,0.8195210039152934,policy_rebalance
2026-09-08,2026-09-08T10:00:00-04:00,2026-09-08T10:00:00-04:00,MSTR,-151,sell,137.625,137.597475,4.156275,0.0,4.156275,20781.375,0,38850.994650048844,100445.19673745119,0.6132120209630375,0.6132120209630375,policy_rebalance
2026-09-08,2026-09-08T10:00:00-04:00,2026-09-08T10:00:00-04:00,SNDK,4,buy,1780.4849853515625,1780.8410823486329,1.42438798828125,0.0,1.42438798828125,7121.93994140625,4,31727.630320654313,100443.7723494629,0.6841254606580498,0.6841254606580498,policy_rebalance
2026-09-08,2026-09-08T10:05:00-04:00,2026-09-08T10:05:00-04:00,SNDK,-4,sell,1775.10498046875,1774.7499594726562,1.420083984375,0.0,1.420083984375,7100.419921875,0,38826.63015854494,100612.35141098635,0.6140967822137067,0.6140967822137067,policy_rebalance
2026-09-08,2026-09-08T10:05:00-04:00,2026-09-08T10:05:00-04:00,TSLA,-45,sell,361.32000732421875,361.24774332275393,3.2518800659179687,0.0,3.2518800659179687,16259.400329589844,126,55082.77860806887,100609.09953092043,0.4525069912673242,0.4525069912673242,policy_rebalance
