date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-09-08,2026-09-08T09:35:00-04:00,2026-09-08T09:35:00-04:00,TSLA,48,buy,361.489990234375,361.56228823242185,3.47030390625,0.0,3.47030390625,17351.51953125,48,82645.01016484376,99996.52969609376,0.17352121702607262,0.17352121702607262,policy_rebalance
2026-09-08,2026-09-08T09:35:00-04:00,2026-09-08T09:35:00-04:00,MSTR,174,buy,136.63999938964844,136.66732738952638,4.755071978759766,0.0,4.755071978759766,23775.359893798828,174,58864.895199066166,99991.774624115,0.4113026254374554,0.4113026254374554,policy_rebalance
2026-09-08,2026-09-08T09:35:00-04:00,2026-09-08T09:35:00-04:00,NVDA,-231,sell,231.80999755859375,231.76363555908205,10.709621887207032,0.0,10.709621887207032,53548.109436035156,-231,112402.29501321411,99981.06500222778,0.9469291896318011,-0.12423582416040034,policy_rebalance
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,TSLA,-48,sell,359.3349914550781,359.2631244567871,3.44961591796875,0.0,3.44961591796875,17248.07958984375,0,129646.9249871399,100056.69314509888,0.7700333453064583,-0.2957346571421289,policy_rebalance
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,NVDA,231,buy,230.81649780273438,230.8626611022949,10.663722198486328,0.0,10.663722198486328,53318.61099243164,0,76317.65027250977,100046.02942290039,0.2371746213944122,0.2371746213944122,policy_rebalance
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,TSLA,-69,sell,359.3349914550781,359.2631244567871,4.958822882080078,0.0,4.958822882080078,24794.11441040039,-69,101106.80586002808,100041.07060001831,0.4850257326292761,-0.010652977358376756,policy_rebalance
2026-09-08,2026-09-08T09:40:00-04:00,2026-09-08T09:40:00-04:00,MSTR,339,buy,136.3699951171875,136.39726911621094,9.245885668945313,0.0,9.245885668945313,46229.42834472656,513,54868.13162963257,100031.82471434936,0.9472177697057005,0.4514932444118272,policy_rebalance
2026-09-08,2026-09-08T09:45:00-04:00,2026-09-08T09:45:00-04:00,MSTR,-1,sell,137.44000244140625,137.41251444091796,0.02748800048828125,0.0,0.02748800048828125,137.44000244140625,512,55005.54414407349,100694.90589944458,0.9439325643697055,0.45374054771943645,policy_rebalance
2026-09-08,2026-09-08T09:45:00-04:00,2026-09-08T09:45:00-04:00,TSLA,1,buy,357.67999267578125,357.7515286743164,0.07153599853515626,0.0,0.07153599853515626,357.67999267578125,-68,54647.79261539917,100694.83436344605,0.9403811163755961,0.45729298865367357,policy_rebalance
2026-09-08,2026-09-08T09:50:00-04:00,2026-09-08T09:50:00-04:00,MSTR,-1,sell,137.43499755859375,137.40751055908203,0.02748699951171875,0.0,0.02748699951171875,137.43499755859375,511,54785.200125958254,100638.04027488403,0.9400593165124216,0.4556213537513524,policy_rebalance
2026-09-08,2026-09-08T09:50:00-04:00,2026-09-08T09:50:00-04:00,TSLA,68,buy,358.47711181640625,358.54880723876954,4.875288720703125,0.0,4.875288720703125,24376.443603515625,0,30403.881233721924,100633.16498616333,0.6978741428046873,0.6978741428046873,policy_rebalance
2026-09-08,2026-09-08T09:50:00-04:00,2026-09-08T09:50:00-04:00,SNDK,-9,sell,1771.8800048828125,1771.525628881836,3.1893840087890624,0.0,3.1893840087890624,15946.920043945312,-9,46347.611893658446,100629.97560215453,0.8563671339550801,0.5394253887440462,policy_rebalance
2026-09-08,2026-09-08T09:50:00-04:00,2026-09-08T09:50:00-04:00,TSLA,23,buy,358.47711181640625,358.54880723876954,1.6489947143554688,0.0,1.6489947143554688,8244.973571777344,23,38100.989327166746,100628.32660744019,0.9383160840635782,0.6213691451334373,policy_rebalance
2026-09-08,2026-09-08T09:55:00-04:00,2026-09-08T09:55:00-04:00,TSLA,2,buy,358.67999267578125,358.7517286743164,0.1434719970703125,0.0,0.1434719970703125,717.3599853515625,25,37383.48586981811,100551.31912177123,0.9458574457089844,0.6282148638493208,policy_rebalance
2026-09-08,2026-09-08T09:55:00-04:00,2026-09-08T09:55:00-04:00,MSTR,1,buy,137.32000732421875,137.34747132568359,0.02746400146484375,0.0,0.02746400146484375,137.32000732421875,512,37246.13839849243,100551.29165776978,0.9472233752966613,0.62958070667793,policy_rebalance
2026-09-08,2026-09-08T10:00:00-04:00,2026-09-08T10:00:00-04:00,TSLA,-1,sell,360.20001220703125,360.12797220458987,0.07204000244140625,0.0,0.07204000244140625,360.20001220703125,24,37606.26637069702,100690.7017955017,0.944805860568377,0.6265169901479716,policy_rebalance
2026-09-08,2026-09-08T10:00:00-04:00,2026-09-08T10:00:00-04:00,MSTR,-64,sell,137.625,137.597475,1.7616,0.0,1.7616,8808.0,448,46412.50477069702,100688.94019550171,0.8573450569001957,0.5390506178674577,policy_rebalance
2026-09-08,2026-09-08T10:00:00-04:00,2026-09-08T10:00:00-04:00,SNDK,9,buy,1780.4849853515625,1780.8410823486329,3.2048729736328125,0.0,3.2048729736328125,16024.364868164062,0,30384.935029559325,100685.73532252808,0.6982200613401012,0.6982200613401012,policy_rebalance
2026-09-08,2026-09-08T10:00:00-04:00,2026-09-08T10:00:00-04:00,SNDK,14,buy,1780.4849853515625,1780.8410823486329,4.985357958984375,0.0,4.985357958984375,24926.789794921875,14,5453.159876678466,100680.74996456908,0.9458371150532997,0.9458371150532997,policy_rebalance
2026-09-08,2026-09-08T10:05:00-04:00,2026-09-08T10:05:00-04:00,SNDK,-14,sell,1775.10498046875,1774.7499594726562,4.9702939453125,0.0,4.9702939453125,24851.4697265625,0,30299.659309295654,101001.4224928894,0.7000075982946797,0.7000075982946797,policy_rebalance
2026-09-08,2026-09-08T10:05:00-04:00,2026-09-08T10:05:00-04:00,MSTR,-178,sell,138.4600067138672,138.43231471252443,4.929176239013672,0.0,4.929176239013672,24645.88119506836,270,54940.611328125,100996.49331665039,0.4560146642332241,0.4560146642332241,policy_rebalance
2026-09-08,2026-09-08T10:05:00-04:00,2026-09-08T10:05:00-04:00,NVDA,-218,sell,228.26199340820312,228.2163410095215,9.952222912597657,0.0,9.952222912597657,49761.11456298828,-218,104691.77366820068,100986.54109373779,0.9488095692135288,-0.03669036026319208,policy_rebalance
2026-09-08,2026-09-08T10:10:00-04:00,2026-09-08T10:10:00-04:00,MSTR,-96,sell,137.7899932861328,137.7624352874756,2.64556787109375,0.0,2.64556787109375,13227.83935546875,174,117916.96745579834,100603.48112767334,0.8212320535997386,-0.17209629462178244,policy_rebalance
2026-09-08,2026-09-08T10:10:00-04:00,2026-09-08T10:10:00-04:00,TSLA,35,buy,361.54998779296875,361.62229779052734,2.5308499145507812,0.0,2.5308499145507812,12654.249572753906,59,105260.18703312989,100600.95027775879,0.9470392945142877,-0.04631404318256399,policy_rebalance
2026-09-08,2026-09-08T10:15:00-04:00,2026-09-08T10:15:00-04:00,TSLA,1,buy,361.94500732421875,362.0173963256836,0.07238900146484376,0.0,0.07238900146484376,361.94500732421875,60,104898.1696368042,100759.49074276123,0.9477189494211276,-0.04107482941342972,policy_rebalance
2026-09-08,2026-09-08T10:20:00-04:00,2026-09-08T10:20:00-04:00,NVDA,201,buy,228.18499755859375,228.23063455810546,9.173036901855468,0.0,9.173036901855468,45865.184509277344,-17,59023.812090625004,100982.23054765625,0.49233125575059244,0.4155029873026021,policy_rebalance
2026-09-08,2026-09-08T10:20:00-04:00,2026-09-08T10:20:00-04:00,TSLA,127,buy,361.8598937988281,361.9322657775879,9.191241302490234,0.0,9.191241302490234,45956.20651245117,187,13058.414336871341,100973.03930635376,0.9475095089115968,0.8706742470408174,policy_rebalance
