date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-09-08,2026-09-08T09:30:00-04:00,,SNDK,13,buy,1769.4300537109375,1770.314768737793,11.501295349121094,0.0,11.501295349121094,23002.590698242188,13,76985.90800640869,99988.49870465088,0.23005236598449139,0.23005236598449139,precommitted_opening_benchmark
2026-09-08,2026-09-08T09:30:00-04:00,,TSLA,66,buy,357.2699890136719,357.4486240081787,11.789909637451172,0.0,11.789909637451172,23579.819274902344,66,53394.2988218689,99976.70879501343,0.4659326210533141,0.4659326210533141,precommitted_opening_benchmark
2026-09-08,2026-09-08T09:30:00-04:00,,MSTR,172,buy,137.61500549316406,137.68381299591064,11.83489047241211,0.0,11.83489047241211,23669.78094482422,172,29712.68298657227,99964.87390454102,0.7027687644067289,0.7027687644067289,precommitted_opening_benchmark
2026-09-08,2026-09-08T09:30:00-04:00,,NVDA,101,buy,233.2100067138672,233.3266117172241,11.777105339050292,0.0,11.777105339050292,23554.210678100586,101,6146.695203132636,99953.09679920197,0.9385042044722149,0.9385042044722149,precommitted_opening_benchmark
2026-09-08,2026-09-08T15:55:00-04:00,,SNDK,-13,sell,1740.1800537109375,1739.309963684082,11.311170349121094,0.0,11.311170349121094,22622.340698242188,0,28757.724731025704,99289.53012043,0.7103649831342241,0.7103649831342241,scheduled_1555_liquidation
2026-09-08,2026-09-08T15:55:00-04:00,,TSLA,-66,sell,368.1950988769531,368.0110013275147,12.150438262939453,0.0,12.150438262939453,24300.876525878906,0,53046.45081864168,99277.37968216707,0.46567434607492697,0.46567434607492697,scheduled_1555_liquidation
2026-09-08,2026-09-08T15:55:00-04:00,,MSTR,-172,sell,136.67999267578125,136.61165267944338,11.754479370117188,0.0,11.754479370117188,23508.958740234375,0,76543.65507950594,99265.62520279696,0.22890069021245424,0.22890069021245424,scheduled_1555_liquidation
2026-09-08,2026-09-08T15:55:00-04:00,,NVDA,-101,sell,224.97000122070312,224.85751622009278,11.360985061645508,0.0,11.360985061645508,22721.970123291016,0,99254.26421773531,99254.26421773531,0.0,0.0,scheduled_1555_liquidation
2026-09-09,2026-09-09T09:30:00-04:00,,SNDK,13,buy,1749.719970703125,1750.5948306884766,11.373179809570313,0.0,11.373179809570313,22746.359619140625,13,76496.53141878512,99242.89103792574,0.2291988814639437,0.2291988814639437,precommitted_opening_benchmark
2026-09-09,2026-09-09T09:30:00-04:00,,TSLA,63,buy,368.3550109863281,368.5391884918213,11.603182846069336,0.0,11.603182846069336,23206.365692138672,63,53278.56254380038,99231.28785507967,0.4630870595813492,0.4630870595813492,precommitted_opening_benchmark
2026-09-09,2026-09-09T09:30:00-04:00,,MSTR,166,buy,141.97799682617188,142.04898582458495,11.784173736572265,0.0,11.784173736572265,23568.34747314453,166,29698.430896919275,99219.5036813431,0.700679505590959,0.700679505590959,precommitted_opening_benchmark
2026-09-09,2026-09-09T09:30:00-04:00,,NVDA,104,buy,225.27000427246094,225.38263927459715,11.714040222167968,0.0,11.714040222167968,23428.080444335938,104,6258.636412361171,99207.78964112094,0.9369138609477999,0.9369138609477999,precommitted_opening_benchmark
2026-09-09,2026-09-09T15:55:00-04:00,,SNDK,-13,sell,1764.25,1763.3678750000001,11.467625,0.0,11.467625,22935.25,0,29182.418787361174,97761.71972119907,0.7014944206118222,0.7014944206118222,scheduled_1555_liquidation
2026-09-09,2026-09-09T15:55:00-04:00,,TSLA,-63,sell,367.9800109863281,367.79602098083495,11.591370346069336,0.0,11.591370346069336,23182.740692138672,0,52353.56810915378,97750.12835085299,0.4644143287337492,0.4644143287337492,scheduled_1555_liquidation
2026-09-09,2026-09-09T15:55:00-04:00,,MSTR,-166,sell,133.27999877929688,133.21335877990722,11.062239898681641,0.0,11.062239898681641,22124.47979736328,0,74466.98566661838,97739.06611095431,0.2381041825989748,0.2381041825989748,scheduled_1555_liquidation
2026-09-09,2026-09-09T15:55:00-04:00,,NVDA,-104,sell,223.77000427246094,223.65811927032473,11.636040222167969,0.0,11.636040222167969,23272.080444335938,0,97727.43007073215,97727.43007073215,0.0,0.0,scheduled_1555_liquidation
2026-09-10,2026-09-10T09:30:00-04:00,,SNDK,13,buy,1724.5999755859375,1725.4622755737303,11.209899841308594,0.0,11.209899841308594,22419.799682617188,13,75296.42048827367,97716.22017089085,0.22943785221540863,0.22943785221540863,precommitted_opening_benchmark
2026-09-10,2026-09-10T09:30:00-04:00,,TSLA,64,buy,360.3999938964844,360.5801938934326,11.5327998046875,0.0,11.5327998046875,23065.599609375,64,52219.28807909398,97704.68737108617,0.4655395817320093,0.4655395817320093,precommitted_opening_benchmark
2026-09-10,2026-09-10T09:30:00-04:00,,MSTR,181,buy,128.04010009765625,128.10412014770506,11.58762905883789,0.0,11.58762905883789,23175.25811767578,181,29032.442332359366,97693.09974202733,0.702819928848366,0.702819928848366,precommitted_opening_benchmark
2026-09-10,2026-09-10T09:30:00-04:00,,NVDA,105,buy,220.48500061035156,220.59524311065672,11.575462532043456,0.0,11.575462532043456,23150.925064086914,105,5869.941805740411,97681.5242794953,0.9399073484055716,0.9399073484055716,precommitted_opening_benchmark
2026-09-10,2026-09-10T15:55:00-04:00,,SNDK,-13,sell,1695.06005859375,1694.2125285644531,11.017890380859376,0.0,11.017890380859376,22035.78076171875,0,27894.7046770783,97385.30509516913,0.713563512997999,0.713563512997999,scheduled_1555_liquidation
2026-09-10,2026-09-10T15:55:00-04:00,,TSLA,-64,sell,363.1499938964844,362.9684188995362,11.6207998046875,0.0,11.6207998046875,23241.599609375,0,51124.68348664862,97373.68429536444,0.4749640638884355,0.4749640638884355,scheduled_1555_liquidation
2026-09-10,2026-09-10T15:55:00-04:00,,MSTR,-181,sell,128.8000030517578,128.73560305023193,11.656400276184081,0.0,11.656400276184081,23312.800552368164,0,74425.8276387406,97362.02789508825,0.23557644342681927,0.23557644342681927,scheduled_1555_liquidation
2026-09-10,2026-09-10T15:55:00-04:00,,NVDA,-105,sell,218.44000244140625,218.33078244018557,11.468100128173829,0.0,11.468100128173829,22936.200256347656,0,97350.55979496008,97350.55979496008,0.0,0.0,scheduled_1555_liquidation
2026-09-11,2026-09-11T09:30:00-04:00,,SNDK,13,buy,1713.0001220703125,1713.8566221313476,11.13450079345703,0.0,11.13450079345703,22269.001586914062,13,75070.42370725256,97339.42529416662,0.22877679336626003,0.22877679336626003,precommitted_opening_benchmark
2026-09-11,2026-09-11T09:30:00-04:00,,TSLA,63,buy,364.1400146484375,364.32208465576167,11.47041046142578,0.0,11.47041046142578,22940.820922851562,63,52118.132373939574,97327.9548837052,0.4645101457621887,0.4645101457621887,precommitted_opening_benchmark
2026-09-11,2026-09-11T09:30:00-04:00,,MSTR,177,buy,130.52999877929688,130.59526377868653,11.551904891967773,0.0,11.551904891967773,23103.809783935547,177,29002.770685112057,97316.40297881323,0.7019744894247041,0.7019744894247041,precommitted_opening_benchmark
2026-09-11,2026-09-11T09:30:00-04:00,,NVDA,104,buy,221.25,221.360625,11.505,0.0,11.505,23010.0,104,5981.2656851120555,97304.89797881323,0.9385306823258333,0.9385306823258333,precommitted_opening_benchmark
2026-09-11,2026-09-11T15:55:00-04:00,,SNDK,-13,sell,1634.2900390625,1633.4728940429688,10.62288525390625,0.0,10.62288525390625,21245.7705078125,0,27216.41330767065,96188.65317583471,0.7170517269025638,0.7170517269025638,scheduled_1555_liquidation
2026-09-11,2026-09-11T15:55:00-04:00,,TSLA,-63,sell,365.6700134277344,365.48717842102053,11.518605422973632,0.0,11.518605422973632,23037.210845947266,0,50242.105548194944,96177.13457041174,0.47760862524540637,0.47760862524540637,scheduled_1555_liquidation
2026-09-11,2026-09-11T15:55:00-04:00,,MSTR,-177,sell,131.02999877929688,130.96448377990723,11.596154891967773,0.0,11.596154891967773,23192.309783935547,0,73422.81917723852,96165.53841551977,0.2364955223357944,0.2364955223357944,scheduled_1555_liquidation
2026-09-11,2026-09-11T15:55:00-04:00,,NVDA,-104,sell,218.67999267578125,218.57065267944338,11.371359619140625,0.0,11.371359619140625,22742.71923828125,0,96154.16705590063,96154.16705590063,0.0,0.0,scheduled_1555_liquidation
