ticker,date,selected_candidate,selection_data_cutoff,validation_start_date,validation_end_date,available_prior_sessions,selection_mode,selection_score,bar_data_start,bar_data_end,status,net_return,gross_return,cost_fraction_of_day_start_equity,slippage_cost_fraction,commission_cost_fraction,max_drawdown,trade_count,fill_count,turnover,exposed_bars,ml_model_train_sessions,ml_model_train_last_date
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,prior_chronological_validation,0.005973128457712029,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,ok,0.09174173416865172,0.09480346409270801,0.0028352607374327776,0.0028352607374327776,0.0,-0.028560061472978404,7,8,14.0,77,25,2026-08-28
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,prior_chronological_validation,0.08414217852245098,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,ok,-0.004321659472765194,6.98178204729949e-05,0.0044348847566336985,0.0044348847566336985,0.0,-0.030092920262133616,11,12,22.0,77,26,2026-08-31
SNDK,2026-09-02,ml_ridge,2026-09-01T16:00:00-0400,2026-08-28,2026-09-01,27,prior_chronological_validation,0.12066823572644636,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,ok,-0.03439813426663074,-0.028585980289768664,0.005811285341415355,0.005811285341415355,0.0,-0.05710203670128522,15,16,30.0,77,27,2026-09-01
SNDK,2026-09-03,trend_3,2026-09-02T16:00:00-0400,2026-08-31,2026-09-02,28,prior_chronological_validation,0.08033338752701158,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,ok,-0.019355312024870952,-0.011081580173291972,0.008231906991186266,0.008231906991186266,0.0,-0.04596973669732074,21,22,42.0,74,0,
SNDK,2026-09-04,flat,2026-09-03T16:00:00-0400,2026-09-01,2026-09-03,29,prior_chronological_validation,0.0,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
SNDK,2026-09-08,flat,2026-09-04T16:00:00-0400,2026-09-02,2026-09-04,30,prior_chronological_validation,0.0,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
SNDK,2026-09-09,ml_ridge,2026-09-08T16:00:00-0400,2026-09-03,2026-09-08,31,prior_chronological_validation,0.03440748446460584,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,ok,0.005899907360460865,0.011145221658128479,0.005301859785969822,0.005301859785969822,0.0,-0.039818000653414454,13,14,26.0,77,31,2026-09-08
SNDK,2026-09-10,ml_ridge,2026-09-09T16:00:00-0400,2026-09-04,2026-09-09,32,prior_chronological_validation,0.03499964167907499,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,ok,-0.007597598947936768,-0.004017834369732132,0.0035468291734800607,0.00354682917348006,0.0,-0.026216502627268934,9,10,18.0,77,32,2026-09-09
SNDK,2026-09-11,trend_12,2026-09-10T16:00:00-0400,2026-09-08,2026-09-10,33,prior_chronological_validation,0.005366229347816276,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,ok,-0.026571134325461432,-0.018750939293608604,0.007836473182720951,0.007836473182720951,0.0,-0.034821095407408076,20,21,40.0,65,0,
TSLA,2026-08-31,trend_3,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,prior_chronological_validation,0.0019673027648934305,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,ok,-0.036741667953526624,-0.027058853304979702,0.009866336704791171,0.00986633670479117,0.0,-0.05191120923114689,25,26,50.0,74,0,
TSLA,2026-09-01,flat,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,prior_chronological_validation,0.0,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
TSLA,2026-09-02,flat,2026-09-01T16:00:00-0400,2026-08-28,2026-09-01,27,prior_chronological_validation,0.0,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
TSLA,2026-09-03,ml_ridge,2026-09-02T16:00:00-0400,2026-08-31,2026-09-02,28,prior_chronological_validation,0.007197891768208731,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,ok,-0.07973119452287902,-0.06787369312608704,0.012181566364270384,0.012181566364270383,0.0,-0.08233492552733179,32,33,64.0,77,28,2026-09-02
TSLA,2026-09-04,reversal_3,2026-09-03T16:00:00-0400,2026-09-01,2026-09-03,29,prior_chronological_validation,0.02412948912783608,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,ok,0.0340612869406689,0.045710173656019926,0.011442719458815186,0.011442719458815186,0.0,-0.007814802423330991,28,29,56.0,74,0,
TSLA,2026-09-08,reversal_3,2026-09-04T16:00:00-0400,2026-09-02,2026-09-04,30,prior_chronological_validation,0.06862827014371464,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,ok,0.013285556894476303,0.02224357827416945,0.00886018156821392,0.00886018156821392,0.0,-0.012342117216636916,22,23,44.0,74,0,
TSLA,2026-09-09,reversal_3,2026-09-08T16:00:00-0400,2026-09-03,2026-09-08,31,prior_chronological_validation,0.08565347253869393,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,ok,-0.01310950551265977,-0.004783077583782602,0.008320511994667618,0.008320511994667618,0.0,-0.015900803892335058,21,22,42.0,74,0,
TSLA,2026-09-10,reversal_3,2026-09-09T16:00:00-0400,2026-09-04,2026-09-09,32,prior_chronological_validation,0.03406323542283762,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,ok,-0.0015419380612115008,0.009705871909477803,0.01115019593770187,0.011150195937701867,0.0,-0.014280734802510908,28,29,56.0,74,0,
TSLA,2026-09-11,ml_ridge,2026-09-10T16:00:00-0400,2026-09-08,2026-09-10,33,prior_chronological_validation,0.015239722783780163,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,ok,-0.032694239135790726,-0.02609285918015014,0.006673094718389373,0.006673094718389373,0.0,-0.035416941097465515,17,18,34.0,77,33,2026-09-10
MSTR,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,prior_chronological_validation,0.05199210304863833,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,ok,0.0013559686664126325,0.009400520505188359,0.008050386511412473,0.008050386511412473,0.0,-0.024097896182224687,20,21,40.0,77,25,2026-08-28
MSTR,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,prior_chronological_validation,0.07176132140138969,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,ok,-0.005109591915142153,0.002883017818237965,0.00805754784863605,0.00805754784863605,0.0,-0.04434409242124815,20,21,40.0,77,26,2026-08-31
MSTR,2026-09-02,trend_12,2026-09-01T16:00:00-0400,2026-08-28,2026-09-01,27,prior_chronological_validation,0.06421968291853197,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,ok,-0.0043200759036051695,-0.0007284887412500884,0.0036150153771976126,0.003615015377197612,0.0,-0.028833210805063736,9,10,18.0,65,0,
MSTR,2026-09-03,trend_12,2026-09-02T16:00:00-0400,2026-08-31,2026-09-02,28,prior_chronological_validation,0.03462864183839409,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,ok,0.0606711729931424,0.061944954829500354,0.0012443424782463306,0.0012443424782463306,0.0,-0.00988540415453365,3,4,6.0,65,0,
MSTR,2026-09-04,trend_12,2026-09-03T16:00:00-0400,2026-09-01,2026-09-03,29,prior_chronological_validation,0.058870248917682666,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,ok,-0.008541112143688467,-0.005362765077976617,0.003159446563991136,0.003159446563991136,0.0,-0.02195765389731208,8,9,16.0,65,0,
MSTR,2026-09-08,trend_12,2026-09-04T16:00:00-0400,2026-09-02,2026-09-04,30,prior_chronological_validation,0.047068818493972486,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,ok,-0.018684557902413745,-0.013567440502071149,0.005132960746951825,0.005132960746951824,0.0,-0.02116811284301856,13,14,26.0,65,0,
MSTR,2026-09-09,ml_ridge,2026-09-08T16:00:00-0400,2026-09-03,2026-09-08,31,prior_chronological_validation,0.03456966562132191,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,ok,-0.033766625820728646,-0.026783277681076467,0.007028223372237674,0.007028223372237674,0.0,-0.042690671530548174,18,19,36.0,77,31,2026-09-08
MSTR,2026-09-10,flat,2026-09-09T16:00:00-0400,2026-09-04,2026-09-09,32,prior_chronological_validation,0.0,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
MSTR,2026-09-11,flat,2026-09-10T16:00:00-0400,2026-09-08,2026-09-10,33,prior_chronological_validation,0.0,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
NVDA,2026-08-31,trend_12,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,prior_chronological_validation,0.029870222888688236,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,ok,-0.018103235037613796,-0.012193038276950952,0.0059093568419175116,0.0059093568419175116,0.0,-0.023909314421406536,15,17,30.0,64,0,
