candidate,selection_before,validation_start,validation_end,validation_dates,score,selected
price_h1_g10,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.006279682946298437,False
price_h1_g50,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",0.005638066324021196,False
price_h3_g10,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.07552919428201044,False
price_h3_g50,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.03407728766889606,False
price_h6_g10,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.049357204787730535,False
price_h6_g50,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.02474228729513339,False
price_volume_h1_g10,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.004005767347502354,False
price_volume_h1_g50,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",0.009936873319996042,True
price_volume_h3_g10,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.048485597190013,False
price_volume_h3_g50,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.010095283581689984,False
price_volume_h6_g10,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.01260461064956131,False
price_volume_h6_g50,2026-08-31,2026-08-24,2026-08-28,"['2026-08-24', '2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28']",-0.004117398544006723,False
price_h1_g10,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",0.06280582505879462,True
price_h1_g50,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",0.02581182169612739,False
price_h3_g10,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",-0.03789002973994071,False
price_h3_g50,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",-0.021617695469293596,False
price_h6_g10,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",-0.01932569890372937,False
price_h6_g50,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",-0.016346386762308818,False
price_volume_h1_g10,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",0.016346512468150776,False
price_volume_h1_g50,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",0.027924346866375904,False
price_volume_h3_g10,2026-09-01,2026-08-25,2026-08-31,"['2026-08-25', '2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31']",-0.015305432963072851,False
