feature,horizon_minutes,rows,pearson,spearman,min_time,max_time
a158_kmid,5,76,-0.1267377801364837,0.07885167464114831,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
a158_kmid,15,74,-0.03294706132353043,0.12633839318770823,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
a158_kmid,30,71,-0.026101266225110047,0.06948356807511737,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
a158_kmid,60,65,-0.07486415088644367,-0.05572552447552447,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
a158_klen,5,76,-0.04575627409024139,0.0798632946001367,2026-09-14T15:00:00-04:00,2026-09-14T09:45:00-04:00
a158_klen,15,74,0.25918330016203633,-0.08561273602369492,2026-09-14T15:00:00-04:00,2026-09-14T09:45:00-04:00
a158_klen,30,71,0.3133875652263136,0.03534540576794098,2026-09-14T15:00:00-04:00,2026-09-14T09:45:00-04:00
a158_klen,60,65,0.09660961893775892,-0.008347902097902097,2026-09-14T14:35:00-04:00,2026-09-14T09:45:00-04:00
a158_kmid2,5,76,-0.01661249382095465,0.03125085440874914,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
a158_kmid2,15,74,0.014798021385596952,0.09227693446871527,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
a158_kmid2,30,71,0.01601826773161292,0.06398390342052312,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
a158_kmid2,60,65,-0.04295989009197918,-0.048994755244755245,2026-09-14T11:45:00-04:00,2026-09-14T09:45:00-04:00
a158_kup,5,76,-0.02581183167967098,0.0772117376076657,2026-09-14T12:10:00-04:00,2026-09-14T09:30:00-04:00
a158_kup,15,74,0.3038902072227133,0.1406156284053981,2026-09-14T12:10:00-04:00,2026-09-14T09:30:00-04:00
a158_kup,30,71,0.2496928508796888,0.08569823690975975,2026-09-14T12:10:00-04:00,2026-09-14T09:30:00-04:00
a158_kup,60,65,0.13979948256284905,0.004064729728495799,2026-09-14T12:10:00-04:00,2026-09-14T09:30:00-04:00
a158_klow,5,76,0.13044119255122014,0.0723631145309506,2026-09-14T10:10:00-04:00,2026-09-14T09:35:00-04:00
a158_klow,15,74,-0.02502502922670341,-0.06732819923673714,2026-09-14T10:10:00-04:00,2026-09-14T09:35:00-04:00
a158_klow,30,71,0.048496987140857706,-0.1067829298630436,2026-09-14T10:10:00-04:00,2026-09-14T09:35:00-04:00
a158_klow,60,65,0.15960730768069792,0.07336903114509874,2026-09-14T10:10:00-04:00,2026-09-14T09:35:00-04:00
a158_ksft,5,76,-0.07324931569142495,0.06553656869446342,2026-09-14T09:30:00-04:00,2026-09-14T09:45:00-04:00
a158_ksft,15,74,-0.17633097716153706,0.052972972972972966,2026-09-14T09:30:00-04:00,2026-09-14T09:45:00-04:00
a158_ksft,30,71,-0.12818769828225904,-0.014855801475519785,2026-09-14T09:30:00-04:00,2026-09-14T09:45:00-04:00
a158_ksft,60,65,-0.09621968561147361,-0.036931818181818184,2026-09-14T09:30:00-04:00,2026-09-14T09:45:00-04:00
a158_roc_5,5,71,-0.08553206420580778,-0.13923541247484908,2026-09-14T10:15:00-04:00,2026-09-14T11:05:00-04:00
a158_roc_5,15,69,-0.050283098445367394,-0.08688344903178663,2026-09-14T10:15:00-04:00,2026-09-14T11:05:00-04:00
a158_roc_5,30,66,0.06363230217562835,0.017138085794802218,2026-09-14T10:15:00-04:00,2026-09-14T11:05:00-04:00
a158_roc_5,60,60,0.18220824532239047,0.09858293970547376,2026-09-14T10:15:00-04:00,2026-09-14T11:05:00-04:00
a158_ma_5,5,72,-0.13274870106588577,-0.20364653675477523,2026-09-14T10:10:00-04:00,2026-09-14T11:00:00-04:00
a158_ma_5,15,70,-0.12060673145632948,-0.2075234012772286,2026-09-14T10:10:00-04:00,2026-09-14T11:00:00-04:00
a158_ma_5,30,67,0.04517168203002769,-0.025939819618485124,2026-09-14T10:10:00-04:00,2026-09-14T11:00:00-04:00
a158_ma_5,60,61,0.08886561846362054,0.018667371760973026,2026-09-14T10:10:00-04:00,2026-09-14T11:00:00-04:00
a158_std_5,5,72,0.16499787229702748,0.015242137758055182,2026-09-14T14:40:00-04:00,2026-09-14T10:10:00-04:00
a158_std_5,15,70,0.1378454636369967,-0.09561718134896334,2026-09-14T14:40:00-04:00,2026-09-14T10:10:00-04:00
a158_std_5,30,67,0.10755541872561608,0.0499640833266821,2026-09-14T14:40:00-04:00,2026-09-14T10:10:00-04:00
a158_std_5,60,61,-0.15797102593744458,-0.020095187731359064,2026-09-14T14:40:00-04:00,2026-09-14T10:10:00-04:00
a158_rsv_5,5,72,0.07824767986799872,0.11975046626792721,2026-09-14T12:05:00-04:00,2026-09-14T10:15:00-04:00
a158_rsv_5,15,70,0.06643059379539212,0.15930364797480537,2026-09-14T12:05:00-04:00,2026-09-14T10:15:00-04:00
a158_rsv_5,30,67,0.0482295009744335,0.08069279272088756,2026-09-14T12:05:00-04:00,2026-09-14T10:15:00-04:00
a158_rsv_5,60,61,-0.000913208363576345,0.006081438392384981,2026-09-14T12:05:00-04:00,2026-09-14T10:15:00-04:00
a158_vma_5,5,72,-0.08223819972236535,-0.259341436748344,2026-09-14T11:25:00-04:00,2026-09-14T09:50:00-04:00
a158_vma_5,15,70,0.23936526868721372,0.07913568366722071,2026-09-14T11:25:00-04:00,2026-09-14T09:50:00-04:00
a158_vma_5,30,67,0.24489551211355293,0.1078697421981004,2026-09-14T11:25:00-04:00,2026-09-14T09:50:00-04:00
a158_vma_5,60,61,0.07541267627955896,0.023056583818085664,2026-09-14T11:25:00-04:00,2026-09-14T09:50:00-04:00
a158_corr_5,5,72,-0.07025604948020883,-0.04501897228117565,2026-09-14T13:30:00-04:00,2026-09-14T15:40:00-04:00
a158_corr_5,15,70,-0.11162836512096362,-0.1377132359373633,2026-09-14T13:30:00-04:00,2026-09-14T10:40:00-04:00
a158_corr_5,30,67,-0.04666570544815592,-0.04948519434911007,2026-09-14T13:30:00-04:00,2026-09-14T10:40:00-04:00
a158_corr_5,60,61,0.29071148927065854,0.26493918561607616,2026-09-14T13:30:00-04:00,2026-09-14T10:40:00-04:00
a158_roc_20,5,56,-0.019704183872366995,-0.05809979494190021,2026-09-14T13:45:00-04:00,2026-09-14T11:55:00-04:00
