day,symbol,model,validation_start,validation_end,mse_bps2,zero_mse_bps2,relative_mse_improvement
2026-08-31,SNDK,context_tree,2026-08-24,2026-08-28,1580.0404583857558,1545.5418589312926,-0.022321362087415864
2026-08-31,TSLA,context_tree,2026-08-24,2026-08-28,389.4747859873386,397.814689565168,0.02096429266336386
2026-08-31,NVDA,context_tree,2026-08-24,2026-08-28,469.2726167643899,463.0573355237827,-0.013422271420399534
2026-09-01,SNDK,context_tree,2026-08-25,2026-08-31,1911.6468599619504,1863.8975618376633,-0.02561798411132088
2026-09-01,TSLA,context_tree,2026-08-25,2026-08-31,458.3343722877794,460.9529047533403,0.005680694141546039
2026-09-01,NVDA,market_ridge,2026-08-25,2026-08-31,460.14435522506994,444.7343628132545,-0.034649880243875275
2026-09-02,SNDK,context_tree,2026-08-26,2026-09-01,1729.0868430100334,1679.118000201456,-0.029758982276756107
2026-09-02,TSLA,context_tree,2026-08-26,2026-09-01,419.2239280587117,424.9434801140461,0.013459559501417528
2026-09-02,NVDA,context_tree,2026-08-26,2026-09-01,453.8468671405718,439.7342525433669,-0.03209350764826557
2026-09-03,SNDK,market_ridge,2026-08-27,2026-09-02,1986.0965989136319,1891.7590335043794,-0.04986764367896113
2026-09-03,TSLA,market_ridge,2026-08-27,2026-09-02,464.98247435492084,467.792434009484,0.006006851437246996
2026-09-03,NVDA,context_tree,2026-08-27,2026-09-02,473.1509985440045,457.79581163628774,-0.03354156267361441
2026-09-04,SNDK,market_tree,2026-08-28,2026-09-03,1943.5854268207254,1882.6398715249354,-0.03237239167065131
2026-09-04,TSLA,market_ridge,2026-08-28,2026-09-03,517.0734913695969,516.8389744492866,-0.0004537523907908181
2026-09-04,NVDA,market_tree,2026-08-28,2026-09-03,336.2279117685628,329.30633969108686,-0.021018642046092717
2026-09-08,SNDK,context_tree,2026-08-31,2026-09-04,1725.6094356823996,1675.2233679804842,-0.03007722353029063
2026-09-08,TSLA,market_ridge,2026-08-31,2026-09-04,549.3820458767651,550.5353947152213,0.0020949585612979327
2026-09-08,NVDA,market_tree,2026-08-31,2026-09-04,270.8626925536099,263.4019391571295,-0.028324595560512478
2026-09-09,SNDK,market_tree,2026-09-01,2026-09-08,1418.043421570036,1400.6364077991188,-0.012427931812988735
2026-09-09,TSLA,market_ridge,2026-09-01,2026-09-08,475.17574043597017,490.57842564890814,0.0313969885499229
2026-09-09,NVDA,market_tree,2026-09-01,2026-09-08,264.5785814045645,258.5471682784102,-0.02332809586086637
2026-09-10,SNDK,market_tree,2026-09-02,2026-09-09,1500.0424439599767,1479.6315542585407,-0.013794575847406954
2026-09-10,TSLA,market_ridge,2026-09-02,2026-09-09,507.29127338184105,512.9356539798533,0.011004071474107313
2026-09-10,NVDA,market_tree,2026-09-02,2026-09-09,255.81976504118416,251.8005239779126,-0.015962004366695037
2026-09-11,SNDK,market_tree,2026-09-03,2026-09-10,1194.4205067348491,1216.4022506184053,0.018071114117374387
2026-09-11,TSLA,context_tree,2026-09-03,2026-09-10,486.05750344920943,484.19810967873565,-0.0038401508252634553
2026-09-11,NVDA,market_ridge,2026-09-03,2026-09-10,227.20671994856025,224.99106839653868,-0.009847731146894079
